Time,Frame,nose_dist,body_dist,freezing,body,Known,Homecage
14.2,213,0.0009582777962342,0.0003421148802373,0,red_corner,0,0
14.27,214,0.0018887893566285,0.0009328491879512,0,red_corner,0,0
14.33,215,0.0058949171710751,9.092186655994802e-05,0,red_corner,0,0
14.4,216,0.0095762235131177,0.0015092829181294,0,red_corner,0,0
14.47,217,0.0029662984035793,0.0016744492248458,0,red_corner,0,0
14.53,218,0.0041235477636546,0.0017815952563597,0,red_corner,0,0
14.6,219,0.0050848707338064,0.0005686736963614,0,red_corner,0,0
14.67,220,0.0051702567889461,0.0011631492640473,0,red_corner,0,0
14.73,221,0.0047575691248837,0.0021389678084713,0,red_corner,0,0
14.8,222,0.0031794225988689,0.0022657629771815,0,red_corner,0,0
14.87,223,0.0021699970747676,0.0016229656069109,0,red_corner,0,0
14.93,224,0.009092455041098,0.0017487934116474,0,red_corner,0,0
15.0,225,0.013667716579226,0.0028683586180653,0,red_corner,0,0
15.07,226,0.0133120977221159,0.0033800365251375,0,red_corner,0,0
15.13,227,0.010536547978163,0.0048680326308642,0,red_corner,0,0
15.2,228,0.0117449162289365,0.0094283891618067,0,red_corner,0,0
15.27,229,0.0134850596554608,0.0139726237609148,0,red_corner,0,0
15.33,230,0.0134571543777744,0.0134030675829243,0,red_corner,0,0
15.4,231,0.0132859964455179,0.0127678884897835,0,red_corner,0,0
15.47,232,0.0143133090500828,0.0156032351709657,0,red_corner,0,0
15.53,233,0.016226633604626,0.015945546835834,0,red_corner,0,0
15.6,234,0.0157568107849624,0.0162451053625339,0,red_corner,0,0
15.67,235,0.0172032363590764,0.0173361487699535,0,red_corner,0,0
15.73,236,0.0174954860329016,0.0173713038126085,0,red_corner,0,0
15.8,237,0.0157778210623018,0.0162692604625191,0,red_corner,0,0
15.87,238,0.014083374047416,0.014492368465727,0,red_chamber,0,0
15.93,239,0.0125219215533284,0.0125934228849809,0,red_chamber,0,0
16.0,240,0.0122749302310304,0.0112740221768343,0,red_chamber,0,0
16.07,241,0.012463527775006,0.0112696159136901,0,red_chamber,0,0
16.13,242,0.0096253541709545,0.009997077977369,0,red_chamber,0,0
16.2,243,0.0028301158664287,0.0053028545649002,0,red_chamber,0,1
16.27,244,0.0047823817660887,0.0032905977766697,0,red_chamber,0,1
16.33,245,0.00779249073201,0.0035274193365969,0,red_chamber,0,1
16.4,246,0.0063387561447793,0.0040517831731952,0,red_chamber,0,1
16.47,247,0.0030701076773711,0.0022213075017235,0,red_chamber,0,1
16.53,248,0.0037053001053094,0.0006040223274706,0,red_chamber,0,1
16.6,249,0.0049894166086483,0.0012061312831666,0,red_chamber,0,1
16.67,250,0.005032920440477,0.003218891265306,0,red_chamber,0,1
16.73,251,0.0055899510199243,0.0033360302969078,0,red_chamber,0,1
16.8,252,0.0039822181429912,0.0021045820138915,0,red_chamber,0,1
16.87,253,0.0033838779959382,0.0011570642706596,0,red_chamber,0,1
16.93,254,0.0015937898478596,0.0009524524877352,0,red_chamber,0,1
17.0,255,0.0009006210252525,0.001618870690258,0,red_chamber,0,1
17.07,256,0.0004691882080407,0.0008614005262014,0,red_chamber,0,1
17.13,257,0.0002550289243759,0.0002248032484515,0,red_chamber,0,1
17.2,258,0.0001314477782802,0.000167421302234,0,red_chamber,0,1
17.27,259,5.608929254400981e-05,0.0003751567484035,0,red_chamber,0,1
17.33,260,0.0002661175532128,4.374991733040518e-05,0,red_chamber,0,1
17.4,261,0.0003372055669245,0.0002056224308565,0,red_chamber,0,1
17.47,262,0.0007012500142347,0.0001519820086879,0,red_chamber,0,1
17.53,263,0.0033562785612434,0.001354186995614,0,red_chamber,0,1
17.6,264,0.0131830625916166,0.0038292930394709,0,red_chamber,0,1
17.67,265,0.013847855962877,0.0028204359237162,0,red_chamber,0,0
17.73,266,0.0148870108542012,0.0037507515343167,0,red_chamber,0,0
17.8,267,0.0123456666119287,0.0073196535453593,0,red_chamber,0,0
17.87,268,0.0077075617998756,0.0074811337056286,0,red_chamber,0,0
17.93,269,0.0038531484729303,0.003736804059175,0,red_chamber,0,0
18.0,270,0.0086439241719315,0.005475974988787,0,red_chamber,0,0
18.07,271,0.0133284077804209,0.0114882200498067,0,red_chamber,0,0
18.13,272,0.0171815432253913,0.0169710237760313,0,red_chamber,0,0
18.2,273,0.0171629998392885,0.0208222835566276,0,red_chamber,0,0
18.27,274,0.0152142596557794,0.0217923262761649,0,red_chamber,0,0
18.33,275,0.0114147610522492,0.0165416111942835,0,red_chamber,0,0
18.4,276,0.0099256685856479,0.0085089487996571,0,red_chamber,0,0
18.47,277,0.0086367136840996,0.0084571744821445,0,red_chamber,0,0
18.53,278,0.002774811560623,0.0076705619135509,0,red_chamber,0,0
18.6,279,0.0012831415613195,0.0079082058437296,0,red_chamber,0,0
18.67,280,0.0044483439223996,0.0052462590090607,0,red_chamber,0,0
18.73,281,0.0041330500877732,0.0014858047900451,0,red_chamber,0,0
18.8,282,0.0010598450877673,0.0001729647733893,0,red_chamber,0,0
18.87,283,0.0004242724896343,0.0001219744968055,0,red_chamber,0,0
18.93,284,0.0001180838899744,4.426736637722299e-05,0,red_chamber,0,1
19.0,285,0.0001535367367523,0.0002663205590619,0,red_chamber,0,0
19.07,286,5.458929786274941e-05,0.0001496998836959,0,red_chamber,0,0
19.13,287,0.0001691829728782,0.0001596697554911,0,red_chamber,0,0
19.2,288,0.0019709961243124,0.0004816252435905,0,red_chamber,0,1
19.27,289,0.0061984655340772,0.0014478947761555,0,red_chamber,0,1
19.33,290,0.0039509963358099,0.0019778043178108,0,red_chamber,0,1
19.4,291,0.0020796432370105,0.0015801598909182,0,red_chamber,0,1
19.47,292,0.0024046201424844,0.0018209145469185,0,red_chamber,0,1
19.53,293,0.0031769522142591,0.0016357447204689,0,red_chamber,0,1
19.6,294,0.0024193256145403,0.0005961019760919,0,red_chamber,0,1
19.67,295,0.0009591243703858,0.0001800390018956,0,red_chamber,0,1
19.73,296,0.0005782829710503,8.526067700791389e-05,0,red_chamber,0,1
19.8,297,0.0005796925955632,4.7341887924796256e-05,0,red_chamber,0,1
19.87,298,0.0003661430648697,6.009436777786652e-05,0,red_chamber,0,1
19.93,299,0.0017848276237477,7.985206210211267e-05,0,red_chamber,0,1
20.0,300,0.0023537181421811,0.0001217035545315,0,red_chamber,0,1
20.07,301,0.0028665101459491,0.0006030694142248,0,red_chamber,0,1
20.13,302,0.0052384892235071,0.0020231390835537,0,red_chamber,0,1
20.2,303,0.0053926576561716,0.0029183549976113,0,red_chamber,0,1
20.27,304,0.0037666776530144,0.0040620735543234,0,red_chamber,0,1
20.33,305,0.001903963748327,0.0022888437213924,0,red_chamber,0,1
20.4,306,0.0002480902783407,0.0009856100134324,0,red_chamber,0,1
20.47,307,0.0036747560444629,0.0008071364440582,0,red_chamber,0,1
20.53,308,0.005082597703638,0.000334655092418,0,red_chamber,0,0
20.6,309,0.0034287727710084,0.0006916658071669,0,red_chamber,0,0
20.67,310,0.0009335581268367,0.0005451308525839,0,red_chamber,0,0
20.73,311,0.0011044613269459,0.0004161075931902,0,red_chamber,0,0
20.8,312,0.0052658600409089,0.0002256730974694,0,red_chamber,0,1
20.87,313,0.0043652387480718,0.0012001803990079,0,red_chamber,0,1
20.93,314,0.0023583131420043,0.0006931798690178,0,red_chamber,0,1
21.0,315,0.0007739045290918,0.0005445650253981,0,red_chamber,0,1
21.07,316,8.170702542107621e-05,0.000356226398259,0,red_chamber,0,1
21.13,317,0.0001625405664493,9.363639954817742e-05,0,red_chamber,0,1
21.2,318,2.748333687224212e-05,0.0001261662054352,0,red_chamber,0,1
21.27,319,9.968330323189162e-05,0.0004946122920033,0,red_chamber,0,1
21.33,320,0.0002052524747676,0.0001975287147337,0,red_chamber,0,1
21.4,321,7.975617118381583e-05,0.000200795528539,0,red_chamber,0,1
21.47,322,0.0009496389143934,0.0007837944589067,0,red_chamber,0,1
21.53,323,0.0023077583921328,0.0019683270692541,0,red_chamber,0,1
21.6,324,0.0011424050613734,0.0003186578319155,0,red_chamber,0,1
21.67,325,0.0008826837847783,0.0009182204081832,0,red_chamber,0,1
21.73,326,0.0017752977849286,0.0006986412435135,0,red_chamber,0,1
21.8,327,0.001310248743066,0.0005517893445177,0,red_chamber,0,1
21.87,328,0.0007815759160094,0.0005188313557586,0,red_chamber,0,1
21.93,329,0.001049205834745,0.0003499263335675,0,red_chamber,0,1
22.0,330,0.0009060031380956,0.0001440240750217,0,red_chamber,0,1
22.07,331,0.0025440275968505,0.0005095342447687,0,red_chamber,0,1
22.13,332,0.0019365583978131,0.0015112524306252,0,red_chamber,0,1
22.2,333,0.0003398705132651,0.0011084397499553,0,red_chamber,0,1
22.27,334,0.0007281605584568,0.0005352534196158,0,red_chamber,0,1
22.33,335,0.0027885490165352,0.0015764229304503,0,red_chamber,0,1
22.4,336,0.0020340073229838,0.0017777876473041,0,red_chamber,0,1
22.47,337,0.0020290525066241,0.0019118863092973,0,red_chamber,0,1
22.53,338,0.0024993361379505,0.0015347662595839,0,red_chamber,0,1
22.6,339,0.0037412485380719,0.0006842859000035,0,red_chamber,0,1
22.67,340,0.002606812967967,0.0005989494918412,0,red_chamber,0,1
22.73,341,0.0010474913886111,0.0002881671231199,0,red_chamber,0,1
22.8,342,0.0037105184819948,0.0005991578368942,0,red_chamber,0,1
22.87,343,0.0025691094853343,0.0015204635143663,0,red_chamber,0,1
22.93,344,0.0064985664746994,0.0032108266541656,0,red_chamber,0,0
23.0,345,0.0093818244532996,0.0049116431957036,0,red_chamber,0,0
23.07,346,0.0028255656618195,0.0055770692570638,0,red_chamber,0,0
23.13,347,0.000238816563584,0.0009472835384476,0,red_chamber,0,0
23.2,348,0.0016329198656743,0.0015535630798243,0,red_chamber,0,1
23.27,349,0.0023868800598667,0.0019242955330045,0,red_chamber,0,1
23.33,350,0.0042957486440831,0.0016266389733536,0,red_chamber,0,1
23.4,351,0.0029487411553242,0.0010365780831562,0,red_chamber,0,1
23.47,352,0.0008740894463928,0.0010073213109563,0,red_chamber,0,1
23.53,353,0.0001097960108795,0.0004083415745847,0,red_chamber,0,1
23.6,354,0.000145239941437,0.0001347325707603,0,red_chamber,0,1
23.67,355,0.000253598275187,0.0004176703005844,0,red_chamber,0,1
23.73,356,0.0001581274871218,0.0001035829726594,0,red_chamber,0,1
23.8,357,3.7982090243523845e-05,4.836920817418954e-05,0,red_chamber,0,1
23.87,358,0.001707940396667,0.0001464803909967,0,red_chamber,0,1
23.93,359,0.0079589867947023,0.0016725497963036,0,red_chamber,0,0
24.0,360,0.0105884840963109,0.0045925822882475,0,red_chamber,0,0
24.07,361,0.0136209666039497,0.0021029726251666,0,red_chamber,0,0
