Time,Frame,nose_dist,body_dist,freezing,darting,Homecage,Known
179.0,2685,0.0010309376680586,0.0019807742879417,0,0,0,0
179.07,2686,0.0034139943208016,0.0017667055457097,0,0,0,0
179.13,2687,0.0038710031886465,0.003096161470401,0,0,0,0
179.2,2688,0.0011631977038143,0.0035532828327062,0,0,0,0
179.27,2689,0.0084607508221316,0.0009634905560359,0,0,0,0
179.33,2690,0.0054362137261452,0.0057373901922439,0,0,0,0
179.4,2691,0.0033645169019124,0.0046455836603158,0,0,0,0
179.47,2692,0.0010872234139394,0.0017208844032868,0,0,0,0
179.53,2693,0.0008865357959021,0.0016390515263796,0,0,0,0
179.6,2694,0.0016925108763133,0.0018175681151072,0,0,0,0
179.67,2695,0.0007094548088134,0.0011560841595886,0,0,0,0
179.73,2696,0.0017518857021612,0.0018518717431845,0,0,0,0
179.8,2697,0.0036946277609667,0.0020238241748057,0,0,0,0
179.87,2698,0.0026062212280672,0.0012965984070866,0,0,0,0
179.93,2699,0.0001313515110764,0.0004372795238764,0,0,0,0
180.0,2700,0.0018395220918881,0.0003127746748539,0,0,0,0
180.07,2701,0.0008511120097155,0.0007731271086402,0,0,0,0
180.13,2702,0.0003826929176205,0.0002046302001283,0,0,0,0
180.2,2703,0.0004052866336788,0.000102145630189,0,0,0,0
180.27,2704,0.0005661647145033,0.0003273455355244,0,0,0,0
180.33,2705,0.0011484947999316,0.0002455844696016,0,0,0,0
180.4,2706,0.0029257887250703,0.0018621244391732,0,0,0,0
180.47,2707,0.0038380310183567,0.0041116773166537,0,0,0,0
180.53,2708,0.0043847728617905,0.0065313074025945,0,0,0,0
180.6,2709,0.0048882311070034,0.0086541286564233,0,0,0,0
180.67,2710,0.0053071912881034,0.0103850480395134,0,0,0,0
180.73,2711,0.0056370510675642,0.0117244694479641,0,0,0,0
180.8,2712,0.005879107046687,0.0126723090757334,0,0,0,0
180.87,2713,0.0060521542642437,0.0132285954886463,0,0,0,0
180.93,2714,0.0061814058204911,0.0133933023338837,0,0,0,0
181.0,2715,0.0064992876549932,0.0131664584475413,0,0,0,0
