Time,Frame,nose_dist,body_dist,freezing,darting,Known,Homecage
249.13,3737,0.0125021810946084,0.0026123551519654,0,0,0,0
249.2,3738,0.0134765121481319,0.0068422954702107,0,0,0,0
249.27,3739,0.0124345780988153,0.0101951086233557,0,0,0,0
249.33,3740,0.0120144090923425,0.0121677213913829,0,0,0,0
249.4,3741,0.0140197474841945,0.0125801417499307,0,0,0,0
249.47,3742,0.0125014409642541,0.0120477002729264,0,0,0,0
249.53,3743,0.0079802859014485,0.0095199031068932,0,0,0,0
249.6,3744,0.0041604642172182,0.0049359192958911,0,0,0,0
249.67,3745,0.0021217547335182,0.0012917937692708,0,0,0,0
249.73,3746,0.0009839935860296,0.0002008392594746,0,0,0,0
249.8,3747,0.0010877216645161,0.0012626897048458,0,0,0,0
249.87,3748,0.0057129621800715,0.0032660140710264,0,0,0,0
249.93,3749,0.0063716827224996,0.0050074622838947,0,0,0,0
250.0,3750,0.0072141676170902,0.0060365133047836,0,0,0,0
250.07,3751,0.0083832597690254,0.0069605260256438,0,0,0,0
250.13,3752,0.0074984347643208,0.0074175056861501,0,0,0,0
250.2,3753,0.0054947689637849,0.007997727035891,0,0,0,0
250.27,3754,0.0083981343114147,0.0055502884279254,0,0,0,0
250.33,3755,0.0068617152679324,0.0057620984033405,0,0,0,0
250.4,3756,0.004118719526534,0.0050939833653611,0,0,0,0
250.47,3757,0.0070575051362527,0.0047976424272344,0,0,0,0
250.53,3758,0.0069617234617606,0.0044097352958396,0,0,0,0
250.6,3759,0.003124263161359,0.0029354378672298,0,0,0,0
250.67,3760,0.0016557956432412,0.0031469114556051,0,0,0,0
250.73,3761,0.0041945430882095,0.0074260770124291,0,0,0,0
250.8,3762,0.0095667925786889,0.0064807857320645,0,0,0,0
250.87,3763,0.006666939954157,0.0052093991942769,0,0,0,0
250.93,3764,0.0029501111677614,0.0039993934794001,0,0,0,0
251.0,3765,0.0009874148895476,0.0023252030130395,0,0,0,0
251.07,3766,0.0011042987801125,0.0004252184489911,0,0,0,0
251.13,3767,0.0016161216135488,0.000821194702183,0,0,0,0
251.2,3768,0.0047101186013089,0.0006345385329319,0,0,0,0
251.27,3769,0.0055519747168213,0.0007076531264192,0,0,0,0
251.33,3770,0.0041137181411126,0.0009827891023349,0,0,0,0
251.4,3771,0.0015927085030806,0.000636013198923,0,0,0,0
251.47,3772,0.0016114104075125,0.0001851090872809,0,0,0,0
251.53,3773,0.0014375710230721,4.992451932970987e-05,0,0,0,0
251.6,3774,0.0005506681985555,8.519668372534062e-05,0,0,0,0
251.67,3775,0.0005709167222869,0.0001969344520932,0,0,0,0
251.73,3776,0.000199212796339,6.852449104929858e-05,0,0,0,0
251.8,3777,0.0001347706857458,4.727639715854301e-06,0,0,0,0
251.87,3778,0.0001024620521244,1.8109231981365672e-05,0,0,0,0
251.93,3779,0.0002139979301268,8.415246065335515e-05,0,0,0,0
252.0,3780,0.000253698573765,0.0001642604635204,0,0,0,0
252.07,3781,8.112824887283822e-05,0.0003036026720813,0,0,0,0
252.13,3782,5.877413703788632e-05,6.704766271915863e-05,1,0,0,0
252.2,3783,0.0001798102989891,6.064878450106221e-05,1,0,0,0
252.27,3784,4.0911829193318976e-05,3.797347966824229e-05,1,0,0,0
252.33,3785,1.794729622020406e-05,7.030631965139716e-05,1,0,0,0
252.4,3786,5.75373880468568e-05,0.0001101558018141,0,0,0,0
252.47,3787,0.0001095991993558,0.0001674388419385,0,0,0,0
252.53,3788,7.867268105292815e-05,6.460362303889652e-05,0,0,0,0
252.6,3789,2.810362945391142e-05,2.22546994951261e-05,0,0,0,0
252.67,3790,6.625176814557053e-05,9.707053241787348e-05,0,0,0,0
252.73,3791,0.0002403720413833,0.0002090553865653,0,0,0,0
252.8,3792,0.0004440570454626,0.0001605489321132,0,0,0,0
252.87,3793,0.0017525142249424,0.0004918233984716,0,0,0,0
252.93,3794,0.0030935057227537,0.0020109387786794,0,0,0,0
253.0,3795,0.0072454609698154,0.0058153005610078,0,0,0,0
253.07,3796,0.0114897077172849,0.0089695036168174,0,0,0,0
253.13,3797,0.0083993939071594,0.0079519322259763,0,0,0,0
253.2,3798,0.0083780707017125,0.0105604966589451,0,0,0,0
253.27,3799,0.0085790907535125,0.0116593522674315,0,0,0,0
253.33,3800,0.0073029095115079,0.0109910475789347,0,0,0,0
253.4,3801,0.0043072611322388,0.0076254734410117,0,0,0,0
253.47,3802,0.0066202791701474,0.0047875371532153,0,0,0,0
253.53,3803,0.0060764228342854,0.0042349991888301,0,0,0,0
253.6,3804,0.0081729614658151,0.0065512599527565,0,0,0,0
253.67,3805,0.0134835929998419,0.0130773559916716,0,0,0,0
253.73,3806,0.0185516882468632,0.0193714961032667,0,0,0,0
253.8,3807,0.0185755126538694,0.0185053892328424,0,0,0,0
253.87,3808,0.0203556953446876,0.0196861547631353,0,0,0,0
253.93,3809,0.0208921692237947,0.020340426377419,0,0,0,0
254.0,3810,0.0185634481901482,0.0179829091850155,0,0,0,0
254.07,3811,0.0171514403871724,0.0169954571825745,0,0,0,0
254.13,3812,0.0175783355484324,0.0173830178358482,0,0,0,0
254.2,3813,0.0210465402047875,0.0227309284736771,0,0,0,0
254.27,3814,0.0213976013220747,0.0214369070657877,0,0,0,0
254.33,3815,0.014882740241618,0.0139454841295869,0,0,0,0
254.4,3816,0.0141331418837717,0.0114657308200827,0,0,0,0
254.47,3817,0.0153022546872791,0.0106337574699315,0,0,0,0
254.53,3818,0.0143890873070056,0.0127274906676283,0,0,0,0
254.6,3819,0.0120374385974938,0.0116567518070829,0,0,0,1
254.67,3820,0.0045715450646427,0.0051799409047128,0,0,0,1
254.73,3821,0.0005791265399879,0.0018506142808112,0,0,0,1
254.8,3822,0.0046509888834074,0.0008715650234013,0,0,0,1
254.87,3823,0.0061219429672931,0.0027554172634362,0,0,0,0
254.93,3824,0.0078096211151712,0.0018726050208341,0,0,0,0
255.0,3825,0.0095026281267489,0.000684121297509,0,0,0,1
255.07,3826,0.009498664049131,0.0055234049683871,0,0,0,1
255.13,3827,0.0122283784510711,0.0100961227921892,0,0,0,1
255.2,3828,0.0154709421678765,0.0121368113253355,0,0,0,0
255.27,3829,0.0162435816897564,0.0155730910062461,0,0,0,0
255.33,3830,0.0161318505574266,0.0165464214046755,0,0,0,0
255.4,3831,0.0115366824745713,0.0114502994778299,0,0,0,0
255.47,3832,0.007256886559988,0.0054299948690277,0,0,0,0
255.53,3833,0.0055629449333906,0.003530328237013,0,0,0,1
255.6,3834,0.0009795257657223,0.0014547488353693,0,0,0,1
255.67,3835,0.0010578854343215,0.0003838338722285,0,0,0,1
