Time,Frame,nose_dist,body_dist,freezing,Novel,Known
256.92,6423,0.0010032449918597,0.000874980232211,0,0.01,0.01
256.96,6424,0.000108267567883,0.0007231164956352,0,0.01,0.01
257.0,6425,0.0003230131650023,0.0004996047208791,0,0.01,0.01
257.04,6426,0.0006699471663736,9.062272044470554e-05,0,0.01,0.01
257.08,6427,0.0010355682195862,5.717273794065995e-05,0,0.01,0.01
257.12,6428,0.0016668005991249,7.195090815813901e-05,0,0.01,0.01
257.16,6429,0.001143985958018,0.0001755628814363,0,0.01,0.01
257.2,6430,0.0011883973185653,0.0002560338415752,0,0.01,0.01
257.24,6431,0.0003848691432389,0.0001016624509902,0,0.01,0.01
257.28,6432,0.0002007752557912,0.0003336434597871,0,0.01,0.01
257.32,6433,0.0007069819265407,0.0001845282041673,0,0.01,0.01
257.36,6434,0.0007435918924894,0.0004708283682381,0,0.01,0.01
257.4,6435,0.0002031129236988,0.0002478658651124,0,0.01,0.01
257.44,6436,0.0004055947926036,0.0002927583795828,0,0.01,0.01
257.48,6437,0.0001094044413178,0.0001832959398517,0,0.01,0.01
257.52,6438,0.0004158455250533,4.038529920811422e-05,0,0.01,0.01
257.56,6439,0.0016150798098813,4.2340322708867e-06,0,0.01,0.01
257.6,6440,0.0010270461484494,2.5175022366374563e-05,0,0.01,0.01
257.64,6441,0.001649093651653,0.000398618653074,0,0.01,0.01
257.68,6442,0.0004182213419754,0.0013117754947854,0,0.01,0.01
257.72,6443,0.00016035962459,0.0003225913716979,0,0.01,0.01
257.76,6444,0.0002563788832841,6.963445265556771e-05,0,0.01,0.01
257.8,6445,0.0002363301418589,0.0004127949537886,0,0.01,0.01
257.84,6446,0.0006042142137867,0.0014957511922486,0,0.01,0.01
257.88,6447,0.0018121951035119,0.0046939293131118,0,0.01,0.01
257.92,6448,0.0026217918779572,0.0069279268099021,0,0.01,0.01
257.96,6449,0.0082481084561503,0.0069419819070946,0,0.01,0.01
258.0,6450,0.0108533052610897,0.0070929742201445,0,0.01,0.01
258.04,6451,0.0082694327489895,0.0035485242942362,0,0.01,0.01
258.08,6452,0.0082372538603794,0.0018365717320655,0,0.01,0.01
258.12,6453,0.0065927267185253,0.0008580234293274,0,0.01,0.01
258.16,6454,0.0107264478046017,0.0021120925868143,0,0.01,0.01
258.2,6455,0.0076863137194937,0.0028299546916042,0,0.01,0.0
258.24,6456,0.0046242611753527,0.0020281641024922,0,0.01,0.0
258.28,6457,0.0035194702434468,0.0012529260810496,0,0.0,0.0
258.32,6458,0.0035086791747102,0.0012441505984707,0,0.0,0.0
258.36,6459,0.0022208517797356,0.0008906590452611,0,0.0,0.0
258.4,6460,0.0016537769913927,0.0009764630656079,0,0.0,0.0
258.44,6461,0.0011770131091555,0.0007027110902124,0,0.0,0.0
258.48,6462,0.0005078819296045,0.0002838833728839,0,0.0,0.0
258.52,6463,0.0011793524395434,0.0007975906027037,0,0.0,0.0
258.56,6464,0.0010224017940351,0.0013016657406812,0,0.0,0.0
258.6,6465,0.0016411985666566,0.002072801611912,0,0.0,0.0
258.64,6466,0.0010979229745081,0.0008878346541329,0,0.0,0.0
258.68,6467,0.0015025389076994,0.0006014386040392,0,0.0,0.0
258.72,6468,0.002785107972032,0.0006556855375198,0,0.0,0.0
258.76,6469,0.0037907076997313,0.001027108568976,0,0.0,0.0
258.8,6470,0.0016792149332778,0.0010782485774078,0,0.0,0.0
258.84,6471,0.0010829261940068,0.0003983036036358,0,0.0,0.0
258.88,6472,0.000527026218373,0.0002749491004068,0,0.0,0.0
258.92,6473,0.0013057398729109,0.0002357099341622,0,0.0,0.0
258.96,6474,0.0018200322561436,0.0006715333758311,0,0.0,0.0
259.0,6475,0.0011961826496484,0.0017784833338341,0,0.0,0.0
259.04,6476,0.0007616271999531,0.0010886784917414,0,0.0,0.0
259.08,6477,0.0009538191091203,0.000464118884075,0,0.0,0.0
259.12,6478,0.0016715489442651,0.0005901583723286,0,0.0,0.0
259.16,6479,0.0021551305386947,0.0007632225453362,0,0.0,0.0
259.2,6480,0.0006179415815617,0.0004617678732664,0,0.0,0.0
259.24,6481,0.0005244838307109,0.0001361465486546,0,0.0,0.0
259.28,6482,0.0003089687803177,6.406535570707303e-05,0,0.0,0.0
259.32,6483,0.0002210393359308,6.798559722099097e-05,0,0.0,0.0
259.36,6484,0.0006061434986369,0.0001775365510533,0,0.0,0.0
259.4,6485,0.0009885660002633,0.0004227305283517,0,0.0,0.0
259.44,6486,0.0011421158179134,0.0011346678448081,0,0.0,0.0
259.48,6487,0.0013256457996016,0.0012768090375236,0,0.0,0.0
259.52,6488,0.0007157091989353,0.0012607789471672,0,0.0,0.0
259.56,6489,0.0003414040406112,0.002751644153181,0,0.0,0.0
259.6,6490,0.0005543143071434,0.0012221022474851,0,0.0,0.0
259.64,6491,0.0005273375997218,0.0009501441511762,0,0.0,0.0
259.68,6492,0.0016530263781011,0.0008379614435271,0,0.0,0.0
259.72,6493,0.0018849704942646,0.000413779339171,0,0.0,0.0
259.76,6494,0.0007495229723467,0.0005655194231129,0,0.0,0.0
259.8,6495,0.0002204600756264,0.0010573120574533,0,0.0,0.0
259.84,6496,0.0009533498409608,0.0014368151464887,0,0.0,0.0
259.88,6497,0.0022148258643336,0.0003442996698668,0,0.0,0.0
259.92,6498,0.0028165757197655,0.0001974221406567,0,0.0,0.0
259.96,6499,0.0023669894521845,0.0005570389162541,0,0.0,0.0
260.0,6500,0.0005553721558322,0.0004831643868223,0,0.0,0.0
260.04,6501,0.0002617917175795,0.0002954800414778,0,0.0,0.0
260.08,6502,0.0004537419650717,0.0002487560106046,0,0.0,0.0
260.12,6503,0.000254993856383,0.0001411144219511,0,0.0,0.0
260.16,6504,0.0005900724348954,2.840845817003864e-05,0,0.0,0.0
260.2,6505,0.0011360975230374,6.526186096415454e-05,0,0.0,0.0
260.24,6506,0.0013889303315712,0.0004469668437873,0,0.0,0.0
260.28,6507,0.0004972476018184,0.0008532503252649,0,0.0,0.0
260.32,6508,0.0009643198078941,0.0003840279440029,0,0.0,0.0
260.36,6509,0.0006473836744222,0.0002200708902294,0,0.0,0.0
260.4,6510,0.0005440873521396,0.0001439317453859,0,0.0,0.0
260.44,6511,0.0003764041677039,0.0001785126706193,0,0.0,0.0
260.48,6512,0.0017519520414485,0.0009040660796613,0,0.0,0.0
260.52,6513,0.0019176554928644,0.0020825353635019,0,0.0,0.0
260.56,6514,0.0027969931382531,0.0010471729341825,0,0.0,0.01
260.6,6515,0.002204949708654,0.0009486392213734,0,0.0,0.01
260.64,6516,0.0020459293029322,0.0007133111276469,0,0.0,0.01
260.68,6517,0.0013504084826005,0.0010169657069552,0,0.0,0.01
260.72,6518,0.000988148418025,0.0007213488701486,0,0.0,0.0
260.76,6519,0.0015612203790411,0.0011813494301039,0,0.0,0.0
