Time,Frame,nose_dist,body_dist,freezing,Novel,Known
89.44,2236,0.000427264711948,0.0001095338133728,0,0.01,0.0
89.48,2237,0.001385374063968,0.0001441924611988,0,0.01,0.0
89.52,2238,0.0034279253856072,0.0004777803230154,0,0.01,0.0
89.56,2239,0.0053365737268822,0.0008510750080856,0,0.01,0.0
89.6,2240,0.0039230406189951,0.0004715797361894,0,0.01,0.0
89.64,2241,0.0022900427111912,0.000166979013658,0,0.01,0.0
89.68,2242,0.0038589255445187,0.0001620198502127,0,0.01,0.0
89.72,2243,0.0043694426473566,0.0006080073018776,0,0.01,0.0
89.76,2244,0.0028642352336029,0.000413663083471,0,0.01,0.0
89.8,2245,0.0012110043604412,0.0005903838574107,0,0.01,0.0
89.84,2246,0.0007011969393722,0.0002622625222956,0,0.0,0.0
89.88,2247,0.0003929410836721,0.0001439924641883,0,0.0,0.0
89.92,2248,0.0003431060356451,0.0003013249700502,0,0.0,0.0
89.96,2249,0.0016537410165431,0.0011919792903311,0,0.0,0.0
90.0,2250,0.0031955330843978,0.0011570037607212,0,0.0,0.0
90.04,2251,0.0031944948089385,0.0005730263379321,0,0.0,0.0
90.08,2252,0.0016510717081076,0.0007702705038301,0,0.0,0.0
90.12,2253,0.0002751851965348,0.0005148772204728,0,0.01,0.0
90.16,2254,0.0018958722005103,9.173865764343424e-05,0,0.01,0.0
90.2,2255,0.0017584299055831,8.402014754698462e-05,0,0.01,0.0
90.24,2256,0.001794616671858,0.0004285021981714,0,0.01,0.0
90.28,2257,0.0031234421605802,0.0005324285536016,0,0.01,0.0
90.32,2258,0.0022585566255774,0.00099302123852,0,0.01,0.0
90.36,2259,0.0033701139296436,0.0015529668200225,0,0.01,0.0
90.4,2260,0.001761029466357,0.0012546469298275,0,0.01,0.0
90.44,2261,0.0006852723411326,0.0016302283119248,0,0.01,0.0
90.48,2262,0.0004966298186711,0.0021028052735467,0,0.0,0.0
90.52,2263,0.0020751579821721,0.0005296995351995,0,0.0,0.0
90.56,2264,0.0011504920207026,1.1710536598851354e-05,0,0.0,0.0
90.6,2265,0.0005102090958148,0.0001677587013853,0,0.0,0.0
90.64,2266,0.0017795271306544,0.0006832840805324,0,0.0,0.0
90.68,2267,0.0008190398471258,0.0002164853771597,0,0.0,0.0
90.72,2268,0.0011257371832271,7.051687506704156e-05,0,0.0,0.0
90.76,2269,0.0014259852795318,0.0003940788092172,0,0.0,0.0
90.8,2270,0.003236112908065,0.0006617515433039,0,0.0,0.0
90.84,2271,0.0030898697270051,0.0001273463590074,0,0.0,0.0
