Time,Frame,nose_dist,body_dist,freezing,darting,Known,Novel
267.08,6677,0.0036985845361834,0.0023897029630633,0,0,0.0,0.0
267.12,6678,0.0016206736497879,0.0011832481687559,0,0,0.0,0.0
267.16,6679,0.0034234292355415,0.0027309547921498,0,0,0.0,0.0
267.2,6680,0.0043638828443301,0.0035354481214186,0,0,0.0,0.0
267.24,6681,0.0152068409859719,0.0126942554159923,0,0,0.0,0.0
267.28,6682,0.0102200385358511,0.0097593167370082,0,0,0.0,0.01
267.32,6683,0.01307522028956,0.012208650611354,0,0,0.0,0.03
267.36,6684,0.0063294973811322,0.0060424023504405,0,0,0.0,0.13
267.4,6685,0.0016092433718536,0.0038745875119185,0,0,0.0,0.17
267.44,6686,0.0007148063232454,0.0020820915770079,0,0,0.0,0.09
267.48,6687,0.0024306157462371,0.001451266677354,0,0,0.0,0.05
267.52,6688,0.0012361358062762,0.0007860393040089,0,0,0.0,0.03
267.56,6689,0.0025426433579471,0.0020735050672743,0,0,0.0,0.02
267.6,6690,0.0015021386192453,0.0010002794291036,0,0,0.0,0.01
267.64,6691,0.0057491731994678,0.003796698024744,0,0,0.0,0.01
267.68,6692,0.0134314392111798,0.0121024722685311,0,0,0.0,0.01
267.72,6693,0.0195289137356559,0.017642988333028,0,0,0.0,0.0
267.76,6694,0.0084628600230646,0.008704632971706,0,0,0.0,0.0
267.8,6695,0.0030546765075747,0.0033135615387163,0,0,0.0,0.0
267.84,6696,0.0086037292721327,0.0084241347417253,0,0,0.0,0.0
267.88,6697,0.005983212245704,0.0048168634252234,0,0,0.0,0.0
267.92,6698,0.0037205710085754,0.0024612727262837,0,0,0.0,0.0
267.96,6699,0.0008779522191425,0.0009859679400212,0,0,0.0,0.0
268.0,6700,0.0003301884225405,0.0003485622429485,0,0,0.0,0.0
268.04,6701,0.0002713913369973,0.0011778277785329,0,0,0.0,0.0
268.08,6702,0.0008456796815204,0.0003941697987837,0,0,0.0,0.0
268.12,6703,0.0022938533785763,0.0001310377223983,0,0,0.0,0.0
268.16,6704,0.0006917397713081,3.528505481753541e-07,0,0,0.0,0.0
268.2,6705,0.0004908061581247,0.0003841731116681,0,0,0.0,0.0
268.24,6706,0.000489881228223,0.0011687892977944,0,0,0.0,0.0
268.28,6707,0.0006485822883724,0.0004973688393456,0,0,0.0,0.0
268.32,6708,0.0016183725209172,7.858822995694129e-05,0,0,0.0,0.0
268.36,6709,0.0013719762714882,0.0001708083103132,0,0,0.0,0.0
268.4,6710,0.0007454675858203,6.395275944537357e-05,0,0,0.0,0.0
268.44,6711,0.0025863325117219,0.0001050337711156,0,0,0.0,0.0
268.48,6712,0.0039847432499098,0.0001710471595512,0,0,0.0,0.0
268.52,6713,0.003193347684238,0.0003515408013601,0,0,0.0,0.0
268.56,6714,0.0006157221035876,0.0002368657707857,0,0,0.0,0.0
268.6,6715,0.0003475271584289,6.885091691383373e-05,0,0,0.0,0.0
268.64,6716,0.0014599294441709,0.0001033427391777,0,0,0.0,0.0
268.68,6717,0.0013128177043635,0.0006927167107766,0,0,0.0,0.0
268.72,6718,0.0030024272006541,0.0016093898022163,0,0,0.0,0.0
268.76,6719,0.0034022778516814,0.0010820006250238,0,0,0.0,0.0
268.8,6720,0.0024728613449519,0.0010488102036011,0,0,0.0,0.0
268.84,6721,0.0005960864152848,0.0004228897031497,0,0,0.0,0.0
268.88,6722,0.0011597065744807,0.0003557892221253,0,0,0.0,0.0
268.92,6723,0.0008691489935454,0.0005666566258485,0,0,0.0,0.0
268.96,6724,0.0006501853496713,0.000380422555195,0,0,0.0,0.0
269.0,6725,0.0002513175953136,7.295754763767982e-05,0,0,0.0,0.0
269.04,6726,0.0002394931780157,2.6914385907536985e-05,0,0,0.0,0.0
269.08,6727,6.557940903248483e-05,0.0001082774437847,0,0,0.0,0.0
269.12,6728,0.0013147720745176,0.0003166831813923,0,0,0.0,0.0
269.16,6729,0.0052297005492302,0.0014033839293425,0,0,0.0,0.0
269.2,6730,0.0039882839007823,0.0013804502974055,0,0,0.0,0.0
269.24,6731,0.0074026764933543,0.0013578294342197,0,0,0.0,0.0
269.28,6732,0.0055740048924264,0.0003701954759805,0,0,0.0,0.0
269.32,6733,0.0066919892605732,0.0003328455754676,0,0,0.0,0.0
269.36,6734,0.0023310635746907,0.0001670414846312,0,0,0.0,0.0
269.4,6735,0.003608467723018,0.0004045520728701,0,0,0.0,0.0
269.44,6736,0.002985273989397,0.0005626897679504,0,0,0.0,0.0
269.48,6737,0.0051946779044083,0.0011589125533349,0,0,0.0,0.0
269.52,6738,0.0108362223685212,0.0030388770823725,0,0,0.0,0.0
269.56,6739,0.0032492414858394,0.0010126501878612,0,0,0.0,0.0
269.6,6740,0.0035171552359587,0.0015079876657315,0,0,0.0,0.0
269.64,6741,0.0039969605872698,0.0026362575019011,0,0,0.0,0.0
269.68,6742,0.00354851505957,0.0025277212825152,0,0,0.0,0.0
269.72,6743,0.0039184609660189,0.0034523257915002,0,0,0.0,0.0
269.76,6744,0.013813922542653,0.0132143964091927,0,0,0.0,0.0
269.8,6745,0.0094091670336039,0.0099526785254104,0,0,0.0,0.0
269.84,6746,0.009028252451868,0.0086037032416727,0,0,0.0,0.0
269.88,6747,0.0047842270125588,0.0048868005030094,0,0,0.0,0.0
269.92,6748,0.0046090934005905,0.0035945259745879,0,0,0.0,0.0
269.96,6749,0.0032906274421198,0.0025629731275812,0,0,0.0,0.0
270.0,6750,0.0006557955062031,0.0008881967536082,0,0,0.0,0.0
270.04,6751,0.0001407108115505,0.001722960350765,0,0,0.0,0.01
270.08,6752,0.0004898988651553,0.0011307708144868,0,0,0.0,0.01
270.12,6753,0.0017160320961127,0.0006036939540045,0,0,0.0,0.01
270.16,6754,0.0004253357487068,0.0002656947178597,0,0,0.0,0.01
270.2,6755,0.0005356452228461,0.000515291726807,0,0,0.0,0.01
270.24,6756,0.0027490867103067,0.002290415133244,0,0,0.0,0.01
270.28,6757,0.0052253866689711,0.0043434990135112,0,0,0.0,0.01
270.32,6758,0.011044637146503,0.0104342976158542,0,0,0.0,0.0
270.36,6759,0.0073930411510361,0.0074648897535456,0,0,0.0,0.0
270.4,6760,0.0036920210348857,0.0035433961010922,0,0,0.0,0.0
270.44,6761,0.0109256483199503,0.0093981981853316,0,0,0.0,0.0
270.48,6762,0.0092872864662877,0.0070210765182518,0,0,0.0,0.0
270.52,6763,0.0102800794022076,0.0098266616664814,0,0,0.0,0.0
270.56,6764,0.0078870525542369,0.0076674181993917,0,0,0.0,0.0
270.6,6765,0.0069772266695776,0.0069891186809203,0,0,0.0,0.0
270.64,6766,0.0020278518552838,0.0019797767360261,0,0,0.0,0.0
270.68,6767,0.0034571701726249,0.0026335599184961,0,0,0.0,0.0
270.72,6768,0.0034957065614012,0.0045113961911163,0,0,0.0,0.0
270.76,6769,0.0054541898705957,0.0040554320867481,0,0,0.0,0.0
270.8,6770,0.0030000823263789,0.0027146496066538,0,0,0.0,0.0
270.84,6771,0.0078689716908049,0.0079494786379834,0,0,0.0,0.0
270.88,6772,0.0046411275014312,0.0037924955728503,0,0,0.0,0.0
270.92,6773,0.0042348767660779,0.0026878883645895,0,0,0.0,0.0
270.96,6774,0.0020320131189582,0.0006639996426254,0,0,0.0,0.0
271.0,6775,0.000450923363196,0.0002607825626065,0,0,0.0,0.0
271.04,6776,0.0003096786506736,0.0009253970375429,0,0,0.0,0.0
271.08,6777,0.0014027148692535,0.000476842805188,0,0,0.0,0.0
271.12,6778,0.0013105894330537,0.0013509944606109,0,0,0.0,0.0
271.16,6779,0.0008830792628523,0.0004804375597804,0,0,0.0,0.0
271.2,6780,0.0021924168903132,0.000457660175302,0,0,0.0,0.0
271.24,6781,0.002624168756977,0.0007089776556627,0,0,0.0,0.0
271.28,6782,0.0016202907028259,0.0005241708341199,0,0,0.0,0.0
271.32,6783,0.0015345644940137,0.0006366095251348,0,0,0.0,0.0
271.36,6784,0.0050661736672992,0.0020378284810314,0,0,0.0,0.0
271.4,6785,0.0030013064355359,0.0021215226862637,0,0,0.0,0.0
271.44,6786,0.0051890551169169,0.0026870723876377,0,0,0.0,0.0
271.48,6787,0.0035966280309049,0.0018672429525662,0,0,0.0,0.0
271.52,6788,0.0006563312688593,0.0004399248386771,0,0,0.0,0.0
271.56,6789,0.0005692820651324,0.0003231192905879,0,0,0.0,0.0
271.6,6790,0.000746886589085,7.971273882399834e-05,0,0,0.0,0.0
271.64,6791,0.0035147188769354,0.0003659306259328,0,0,0.0,0.0
271.68,6792,0.0038608860375324,0.0014795532055724,0,0,0.0,0.0
271.72,6793,0.000814418095802,0.0004193590872366,0,0,0.0,0.0
271.76,6794,0.0006244013988452,9.798804344363572e-05,0,0,0.0,0.0
271.8,6795,0.0006423934557103,8.359433907126679e-05,0,0,0.0,0.0
271.84,6796,0.0015534639594208,0.0001737399417863,0,0,0.0,0.0
271.88,6797,0.0006931098026961,0.000344847088276,0,0,0.0,0.0
271.92,6798,0.0001649727600164,0.0006574614439982,0,0,0.0,0.0
271.96,6799,0.0001933582344312,0.0003937635225888,0,0,0.0,0.0
272.0,6800,0.0001941052477773,0.000220360203663,0,0,0.0,0.0
272.04,6801,0.0004355604775473,0.0003826476071597,0,0,0.0,0.0
272.08,6802,0.00048352052792,0.0003503583390368,0,0,0.0,0.0
272.12,6803,0.0009848492680942,0.0003628606782962,0,0,0.0,0.0
272.16,6804,0.0005753312102191,8.719028224169417e-05,0,0,0.0,0.0
272.2,6805,0.0003884648200867,0.0,0,0,0.0,0.0
272.24,6806,0.0016261047402422,0.0002663395167566,0,0,0.0,0.0
272.28,6807,0.0031460107133856,0.0012446788834025,0,0,0.0,0.0
272.32,6808,0.0056790342837451,0.0014004720028734,0,0,0.0,0.0
272.36,6809,0.0024929077423902,0.0005953361329976,0,0,0.0,0.0
272.4,6810,0.000631983452338,0.0002602514985195,0,0,0.0,0.0
272.44,6811,0.0016191000123064,0.0007953699417522,0,0,0.0,0.0
272.48,6812,0.0022716314196742,0.001376107610207,0,0,0.0,0.0
272.52,6813,0.0025229119901636,0.0018627373209155,0,0,0.0,0.0
272.56,6814,0.0020802210221898,0.0008221331165155,0,0,0.0,0.0
272.6,6815,0.0009914410293956,0.0004756418681367,0,0,0.0,0.0
272.64,6816,0.0002281059717642,0.0002570407161374,0,0,0.0,0.0
272.68,6817,0.0008793288937563,0.0003657189060248,0,0,0.0,0.0
272.72,6818,0.0008849539728867,0.000739616734819,0,0,0.0,0.0
272.76,6819,0.0058287732152468,0.0018614595633943,0,0,0.0,0.0
272.8,6820,0.0105071967199975,0.0010260532650293,0,0,0.0,0.0
272.84,6821,0.0092815951367828,0.0022449356182889,0,0,0.0,0.0
272.88,6822,0.0070494282938354,0.0008090716528402,0,0,0.0,0.0
