Time,Frame,nose_dist,body_dist,freezing,body,Known,Novel
11.92,298,0.0027401403054831,0.0027457798862522,0,other,0,0
11.96,299,0.0055466840039158,0.0051798858756243,0,other,0,0
12.0,300,0.0133877874056398,0.011602169759435,0,other,0,0
12.04,301,0.0131416873585823,0.0131896530674648,0,other,0,0
12.08,302,0.012132196034783,0.0117157826667683,0,other,0,0
12.12,303,0.0142599724909376,0.0132008111137977,0,other,0,0
12.16,304,0.0186691622641352,0.0191034602155655,0,other,0,0
12.2,305,0.0153223043942316,0.0156083496055241,0,centre,0,0
12.24,306,0.0166446256097473,0.0176254398422665,0,centre,0,0
12.28,307,0.0053570018833973,0.0055770794351301,0,centre,0,0
12.32,308,0.0098803493951293,0.0095411366231916,0,other,0,0
12.36,309,0.0146613887574275,0.0145026345921574,0,other,0,0
12.4,310,0.0086896512048546,0.0101137923849942,0,other,0,0
12.44,311,0.0051349411588877,0.008292112128293,0,other,0,0
12.48,312,0.0011899853943983,0.0023427784971614,0,other,0,0
12.52,313,0.0012822451254592,0.0025489847950799,0,other,0,0
12.56,314,0.0004882562996649,0.0019644930158881,0,other,0,0
12.6,315,0.0007743923483559,0.0006395357582229,0,other,0,0
12.64,316,0.0006495307604215,0.0002761081057161,0,other,0,0
12.68,317,0.0003442613838142,0.0003888730637834,0,other,0,0
12.72,318,8.836880565990949e-05,0.000109154867629,0,other,0,0
12.76,319,0.0007205540038933,0.0001087371565854,0,other,0,0
12.8,320,0.004914075860262,0.0005387180013499,0,other,0,0
12.84,321,0.0108696953899947,0.0007104286602058,0,other,0,0
12.88,322,0.0077897297085082,0.0016545526860158,0,other,0,0
12.92,323,0.0020079654908684,0.0006940719084976,0,other,0,0
12.96,324,0.0034148967720883,0.0018587102553601,0,other,0,0
13.0,325,0.004491735784834,0.0042306822937379,0,other,0,0
13.04,326,0.0040299336730195,0.0033912444210295,0,other,0,0
13.08,327,0.0022722774366176,0.0017361455744127,0,other,0,0
13.12,328,0.0014305804287026,0.000378418012147,0,other,0,0
13.16,329,0.0065415069343603,0.0005968259679034,0,other,0,0
13.2,330,0.0093941188091177,0.0016273393215346,0,other,0,0
13.24,331,0.00367573921088,0.0017159931296958,0,other,0,0
13.28,332,0.0016576751010052,0.0020699885161846,0,other,0,0
13.32,333,0.0003449577974084,0.0008223448817148,0,other,0,0
13.36,334,0.0013516400707549,0.0019561394612253,0,other,0,0
13.4,335,0.0055495159250833,0.001678246439302,0,other,0,0
13.44,336,0.0018689849106048,0.000399705812247,0,other,0,0
13.48,337,0.0001294396449573,0.000187984634188,0,other,0,0
13.52,338,0.0002605557033063,4.6603672082682205e-05,0,other,0,0
13.56,339,0.0023174696705693,0.0006423259015609,0,other,0,0
13.6,340,0.0053667219262247,0.0025763976123814,0,other,0,0
13.64,341,0.0028089773828581,0.0017730342463191,0,other,0,0
13.68,342,0.0076381936030948,0.0055257420628376,0,other,0,0
13.72,343,0.0076410523228691,0.0048178402464983,0,other,0,0
13.76,344,0.0026657748326657,0.0009764631775567,0,other,0,0
13.8,345,0.0013365809241283,0.0008045452159201,0,other,0,0
13.84,346,0.0009536508330246,0.0002376402945982,0,other,0,0
13.88,347,0.0041394450938599,0.0004217888743025,0,other,0,0
13.92,348,0.0058094541641145,0.001077812937271,0,other,0,0
13.96,349,0.0084034765146692,0.001153679506083,0,other,0,0
14.0,350,0.0094001928141087,0.0006611881814309,0,other,0,0
14.04,351,0.0025877598079672,0.0001380450118424,0,other,0,0
14.08,352,0.0031834097604684,0.0003122693625143,0,other,0,0
14.12,353,0.0038438978257951,0.0005069232293221,0,other,0,0
14.16,354,0.0017878616174582,0.0009285836507036,0,other,0,0
14.2,355,0.0025788574815767,0.0009410641821264,0,other,0,0
14.24,356,0.0014074714706115,0.0006695854005846,0,other,0,0
14.28,357,0.0049038398540643,0.0029313772719003,0,other,0,0
14.32,358,0.009226445709552,0.0059286685434568,0,other,0,0
14.36,359,0.0056302966716853,0.0044606965273912,0,other,0,0
14.4,360,0.0035977476865161,0.0040003426531748,0,other,0,0
14.44,361,0.0027963923170881,0.0017311411239213,0,other,0,0
14.48,362,0.0013148934148756,0.0007270547931832,0,other,0,0
14.52,363,0.0041835853078428,0.0034192290257069,0,other,0,0
14.56,364,0.0073057644043468,0.0072286400315416,0,other,0,0
14.6,365,0.0025680441105224,0.0024565400903427,0,other,0,0
14.64,366,0.0037130738507644,0.0031482228948625,0,other,0,0
14.68,367,0.0025481457073273,0.0024184167998827,0,other,0,0
14.72,368,0.0074902050340381,0.0080856240991933,0,other,0,0
14.76,369,0.0053883291696908,0.0077934706535528,0,other,0,1
14.8,370,0.0014448931753654,0.0020715822688282,0,other,0,1
14.84,371,0.0008566326876518,0.0010344750793259,0,other,0,1
14.88,372,0.0003818873475019,0.000409671686576,0,other,0,1
14.92,373,0.0009540703389104,0.0012225564414525,0,other,0,1
14.96,374,0.0012885423516202,0.0029744227201691,0,other,0,1
15.0,375,0.0022878489419044,0.0022681711834132,0,other,0,1
15.04,376,0.0045199880721336,0.0038538482863506,0,other,0,1
15.08,377,0.0037514507383769,0.002099330693859,0,other,0,1
15.12,378,0.0031378208871172,0.0019038225703851,0,other,0,1
15.16,379,0.0020795572611326,0.0020026834544887,0,other,0,1
15.2,380,0.0021936553679538,0.002479731788718,0,other,0,1
15.24,381,0.0071906662754556,0.0082798944944751,0,other,0,0
15.28,382,0.0032340673065188,0.003580042638925,0,other,0,0
15.32,383,0.0086614605659776,0.0085534019228173,0,other,0,0
15.36,384,0.0143054933968856,0.0135102831250983,0,other,0,0
15.4,385,0.0065504848190472,0.0051576464638892,0,other,0,0
15.44,386,0.0035055716852194,0.0037973188745617,0,other,0,0
15.48,387,0.0008596858658064,0.0009775739149715,0,other,0,0
15.52,388,0.0015786426700709,0.0009875813348969,0,other,0,0
15.56,389,0.0032607168440431,0.0027950151031761,0,other,0,0
15.6,390,0.0024659185922823,0.0023806016018165,0,other,0,0
15.64,391,0.0028710622249407,0.0015565920333566,0,other,0,0
15.68,392,0.0009366087685078,0.0005261238921148,0,other,0,0
15.72,393,0.0013981682509752,0.0001216997292838,0,other,0,0
15.76,394,0.0016703350241475,0.0003042899362622,0,other,0,0
15.8,395,0.003952304016823,0.0006557411901448,0,other,0,0
15.84,396,0.0016747107640482,0.0002520645981805,0,other,0,0
