Time,Frame,nose_dist,body_dist,freezing,body,Novel,Known
14.16,354,0.0001042990295627,0.0008627174567388,0,other,0,0
14.2,355,0.0001215877699769,0.0008763335731093,0,other,0,0
14.24,356,0.0001395232106975,0.0007394489672575,0,other,0,0
14.28,357,0.000158204394846,0.0012024334323363,0,other,0,0
14.32,358,0.000177723269917,0.0009100884370576,0,other,0,0
14.36,359,0.0001981643752677,0.0001758617987746,0,other,0,0
14.4,360,0.0002196047611131,0.0003497346853998,0,other,0,0
14.44,361,0.0002421141043921,0.0008221652035464,0,other,0,0
14.48,362,0.0002657549814088,0.0005942898106251,0,other,0,0
14.52,363,0.0002905832562987,0.0003837196756732,0,other,0,0
14.56,364,0.0003166485470255,0.000258742829665,0,other,0,0
14.6,365,0.000343994735522,0.0004494936924778,0,other,0,0
14.64,366,0.0003726604946056,0.0003077914160211,0,other,0,0
14.68,367,0.0004026798105213,0.00099118856871,0,other,0,0
14.72,368,0.0004340824857711,0.0008227946375399,0,other,0,0
14.76,369,0.0004668946119281,0.0001539861632156,0,other,0,0
14.8,370,0.000501139006253,5.264454207222466e-05,0,other,0,0
14.84,371,0.0005368356091309,0.0003746754627411,0,other,0,0
14.88,372,0.0005740018417066,0.0013179955936655,0,other,0,0
14.92,373,0.0006126529247474,0.0023360498669984,0,other,0,0
14.96,374,0.0011996408438739,0.0024994407480104,0,other,0,0
15.0,375,0.0031950574997069,0.0026980948620046,0,other,0,0
15.04,376,0.0029893481679498,0.0029837850940114,0,other,0,0
15.08,377,0.0032422971782425,0.0029113037212394,0,other,0,0
15.12,378,0.0033671481971846,0.0030852164817249,0,other,0,0
15.16,379,0.0052713251970486,0.0040174529656163,0,other,0,0
15.2,380,0.003612356862769,0.0032073015972813,0,other,0,0
15.24,381,0.002258785036141,0.0024871948580562,0,other,0,0
15.28,382,0.0022788555449306,0.0022650442014761,0,other,0,0
15.32,383,0.0021522635364836,0.0016531338415546,0,other,0,0
15.36,384,0.0022145942650948,0.0012378697653999,0,other,0,0
15.4,385,0.0023018094456237,0.0005201307947649,0,other,0,0
15.44,386,0.0016399294579248,0.0002353872537478,0,other,0,0
15.48,387,0.0028755672632899,0.0007996019214858,0,other,0,0
15.52,388,0.0024121622858971,0.0012881892189499,0,other,0,0
15.56,389,0.0007819776727694,0.0003574850612388,0,other,0,0
15.6,390,0.0001380752165431,4.683076774943729e-05,0,other,0,0
15.64,391,0.0005889791290958,0.0001461499919763,0,other,0,0
15.68,392,0.0020537749421852,0.0007176982418718,0,other,0,0
15.72,393,0.0016619495088531,0.0009883868997483,0,other,0,0
15.76,394,0.0022973936270627,0.0016708338560467,0,other,0,0
15.8,395,0.0033296351846049,0.0015438913212516,0,other,0,0
15.84,396,0.003353787105089,0.0004894924963242,0,other,0,0
15.88,397,0.003502516062272,7.77144489967973e-05,0,other,0,0
