Time,Frame,nose_dist,body_dist,freezing,Left,Right
61.6,1540,0.0012899985861796,0.0001125484581044,0,0.01,0.0
61.64,1541,0.000862227437593,0.0001994706912424,0,0.01,0.0
61.68,1542,0.002437917866791,0.0007658001744244,0,0.01,0.0
61.72,1543,0.0035498646040924,0.0002921631473828,0,0.01,0.0
61.76,1544,0.0008004905644807,0.000177919165318,0,0.01,0.0
61.8,1545,0.0002445559228135,0.0005460503669925,0,0.01,0.0
61.84,1546,0.0026591179870594,0.0009982153583613,0,0.01,0.01
61.88,1547,0.0069881518477327,0.000652168425587,0,0.01,0.01
61.92,1548,0.0016926614860372,0.0002614487830388,0,0.01,0.01
61.96,1549,0.0012230937681398,0.0018550858852928,0,0.01,0.0
62.0,1550,0.0017209412566169,0.0072992081284843,0,0.01,0.0
62.04,1551,0.0021089770035912,0.0018197681038264,0,0.01,0.0
62.08,1552,0.0024090006324071,0.0021237699622128,0,0.01,0.0
62.12,1553,0.00261442144217,0.008517670178363,0,0.01,0.0
62.16,1554,0.0027225041402659,0.0027058583537792,0,0.01,0.0
62.2,1555,0.0028685494681843,0.0030311577139886,0,0.01,0.0
62.24,1556,0.0031159136391025,0.0038655939327039,0,0.01,0.0
62.28,1557,0.0026976794163277,0.0014123955129219,0,0.01,0.0
62.32,1558,0.0026775398465367,0.0001719545393375,0,0.01,0.0
62.36,1559,0.0029274410011463,0.0003015114995023,0,0.01,0.01
62.4,1560,0.0096502270527511,0.0015418384668721,0,0.01,0.01
62.44,1561,0.0076755370142581,0.0025881116915214,0,0.01,0.01
62.48,1562,0.0092430537557274,0.0040914181632258,0,0.01,0.01
62.52,1563,0.0025661030146426,0.0011791193189197,0,0.01,0.01
62.56,1564,0.0018957220407033,0.0009467788684821,0,0.01,0.01
62.6,1565,0.0006836870710664,0.0004130670320269,0,0.01,0.01
62.64,1566,0.0014554505199188,0.0013340268674761,0,0.01,0.01
62.68,1567,0.0036009810610538,0.0031280634505541,0,0.01,0.01
62.72,1568,0.0032822342649882,0.0031808105213563,0,0.01,0.01
62.76,1569,0.0040431020891582,0.0042097178440951,0,0.01,0.01
62.8,1570,0.0020125905262364,0.0021972024449208,0,0.01,0.0
62.84,1571,0.0068004876151054,0.0068095104504203,0,0.01,0.0
62.88,1572,0.0118286326102311,0.0113471307862633,0,0.01,0.0
62.92,1573,0.0111720720996847,0.0117409741220741,0,0.01,0.01
62.96,1574,0.0151602806392834,0.0146674601606689,0,0.0,0.01
63.0,1575,0.0051961646334017,0.0049592611351679,0,0.0,0.01
63.04,1576,0.0104672326435653,0.0100570127296353,0,0.0,0.0
63.08,1577,0.0163676372419458,0.0167203460475372,0,0.0,0.0
63.12,1578,0.0125591712980503,0.0119306182447114,0,0.0,0.0
63.16,1579,0.0152681313156503,0.0123091245904077,0,0.01,0.0
63.2,1580,0.0051899612323586,0.0042601917651243,0,0.01,0.0
63.24,1581,0.0099255256791146,0.0091419963112115,0,0.01,0.0
63.28,1582,0.0138169821842605,0.0133224975837491,0,0.01,0.0
63.32,1583,0.0087588062819866,0.0082520230729688,0,0.01,0.0
63.36,1584,0.0085410706456153,0.0090362073967979,0,0.01,0.0
63.4,1585,0.0025999208604546,0.0027836310224879,0,0.01,0.0
63.44,1586,0.0037545565633632,0.0037890150507905,0,0.01,0.0
63.48,1587,0.004212838152004,0.0049344866944839,0,0.01,0.0
63.52,1588,0.0046587262414038,0.0040418459746978,0,0.01,0.01
63.56,1589,0.0041640783089529,0.0048891505222017,0,0.01,0.01
63.6,1590,0.0013973615974889,0.0013802242996384,0,0.01,0.01
63.64,1591,0.0029548152352575,0.0028012833419583,0,0.01,0.01
63.68,1592,0.0014018338970102,0.0025355968870959,0,0.01,0.01
63.72,1593,0.0019010423723327,0.0004907760766279,0,0.01,0.01
63.76,1594,0.0029800477512842,0.0001128453252561,0,0.01,0.01
63.8,1595,0.0020194004901249,0.0001576089393829,0,0.01,0.01
63.84,1596,0.005366376528297,0.0006202430907997,0,0.01,0.01
63.88,1597,0.0015296351407892,0.0004602168624515,0,0.01,0.01
63.92,1598,0.0002927255153249,8.249935075681946e-05,0,0.01,0.01
63.96,1599,0.0002808675682997,2.9931490388435124e-08,0,0.01,0.01
64.0,1600,0.0002693149064369,0.0002559916054884,0,0.01,0.01
64.04,1601,0.0002580749189839,0.0012703073067454,0,0.01,0.01
64.08,1602,0.0002471470705782,0.0017293376530397,0,0.01,0.01
64.12,1603,0.0002365307126446,0.0018079810976455,0,0.01,0.01
64.16,1604,0.0002262250649897,0.0019749011038548,0,0.01,0.01
64.2,1605,0.0002162291947142,0.0004897201698042,0,0.01,0.01
64.24,1606,0.0002065419921243,0.0005241578878865,0,0.01,0.01
64.28,1607,0.0001971621433153,0.0010588655338224,0,0.01,0.01
64.32,1608,0.0001880880990928,0.0003188922581323,0,0.01,0.01
64.36,1609,0.0001793180399105,0.0003543012587998,0,0.01,0.01
64.4,1610,0.0001708498365334,0.0005879390550825,0,0.01,0.01
64.44,1611,0.0001626810061897,0.0002081868074295,0,0.01,0.01
64.48,1612,0.0001548086640593,5.153755790720492e-05,0,0.01,0.01
64.52,1613,0.0001472294700751,4.3860250716359e-05,0,0.01,0.01
64.56,1614,0.0001399395711868,9.10002238828679e-05,0,0.01,0.01
64.6,1615,0.0001329345394567,0.0004764012026982,0,0.01,0.01
64.64,1616,0.0001262093066517,0.0011598294370067,0,0.01,0.01
64.68,1617,0.000119758096327,0.0002774690004846,0,0.01,0.01
64.72,1618,0.0001135743548035,0.0,0,0.01,0.01
64.76,1619,0.0001076506828707,9.120471036088564e-05,0,0.01,0.01
64.8,1620,0.0001019787705066,0.0003657666030233,0,0.01,0.01
64.84,1621,9.654933734366066e-05,9.12047103608962e-05,0,0.01,0.01
64.88,1622,9.135208198476255e-05,0.0,0,0.01,0.01
64.92,1623,8.637564353854602e-05,0.0002141019431314,0,0.01,0.01
64.96,1624,8.160757882169582e-05,0.0008586326312539,0,0.01,0.01
65.0,1625,7.703435853523872e-05,0.0002141019431314,0,0.01,0.01
65.04,1626,7.264138529049748e-05,0.0001788491498438,0,0.01,0.01
65.08,1627,6.841303564425037e-05,0.0007185387401393,0,0.01,0.01
65.12,1628,6.433272729761288e-05,0.000184000967279,0,0.01,0.01
65.16,1629,6.0383011375474856e-05,2.786349654506637e-06,0,0.01,0.01
65.2,1630,5.654568833476985e-05,1.5182567798758475e-05,0,0.01,0.01
65.24,1631,5.280194466820814e-05,5.561026749099085e-05,0,0.01,0.01
65.28,1632,4.913250631877095e-05,4.116077808127807e-05,0,0.01,0.01
65.32,1633,4.551780375419397e-05,0.0001677278430173,0,0.01,0.01
65.36,1634,4.19381430844469e-05,0.0004586775976842,0,0.01,0.01
65.4,1635,3.837387754602886e-05,0.000111349691248,0,0.01,0.01
65.44,1636,3.480557422170141e-05,6.612682549199889e-05,0,0.01,0.01
65.48,1637,3.121417215273832e-05,0.0002669916073332,0,0.01,0.01
65.52,1638,2.758113046541177e-05,0.0001059078213428,0,0.01,0.01
65.56,1639,2.38885701085552e-05,0.0001274239832291,0,0.01,0.01
65.6,1640,2.011942486300169e-05,6.481669096681803e-05,0,0.01,0.01
65.64,1641,1.625765432881859e-05,0.0001779501783295,0,0.01,0.01
65.68,1642,1.2280784454696733e-05,0.000236476014971,0,0.01,0.01
65.72,1643,0.0004586123466813,0.0007500091152553,0,0.01,0.01
65.76,1644,0.0018445370687018,0.001575660363389,0,0.01,0.01
65.8,1645,0.000503745149403,0.0009307661106966,0,0.01,0.01
65.84,1646,0.0003429102406695,0.0002096459638242,0,0.01,0.01
65.88,1647,0.002152489320145,0.000204714694981,0,0.01,0.01
65.92,1648,0.0045877882302886,0.0007723027077826,0,0.01,0.01
65.96,1649,0.0020081481320021,0.0004715962668487,0,0.01,0.01
66.0,1650,0.0005089141717408,0.0001296939640541,0,0.01,0.01
66.04,1651,0.0002720882922859,1.3552144182285807e-05,0,0.01,0.01
66.08,1652,0.0012810066056892,0.0001647654243358,0,0.01,0.01
66.12,1653,0.0021663520805963,0.0007151278369925,0,0.01,0.01
66.16,1654,0.0008482386045216,0.0004504882206863,0,0.01,0.01
66.2,1655,0.0001040011654406,8.646650172044551e-05,0,0.01,0.01
66.24,1656,0.000399325742975,0.0001649701297154,0,0.01,0.01
66.28,1657,0.0016027928251282,0.0004104105266491,0,0.01,0.01
66.32,1658,0.0006332527537748,0.0001007108994288,0,0.01,0.01
66.36,1659,0.0008530365753363,0.0004107461485727,0,0.01,0.01
66.4,1660,0.0031229437919441,0.0016567022193596,0,0.01,0.01
66.44,1661,0.001505440586674,0.0004571089019386,0,0.01,0.01
66.48,1662,0.0001998407832775,2.4347906941919463e-05,0,0.01,0.01
66.52,1663,8.516869549524131e-07,4.5074687990069566e-05,0,0.01,0.01
66.56,1664,0.0004211124694791,0.0002129018668525,0,0.01,0.01
66.6,1665,0.0017202554892003,0.0002924870987015,0,0.01,0.01
66.64,1666,0.0006833079777407,0.000249514152265,0,0.01,0.01
66.68,1667,0.0001691977072317,8.970275701945801e-05,0,0.01,0.01
66.72,1668,0.0005978715465384,1.1574438681359945e-05,0,0.01,0.01
66.76,1669,0.0001490805906944,5.292540338643903e-06,0,0.01,0.01
66.8,1670,0.0006130882784303,9.007708218820718e-05,0,0.01,0.01
66.84,1671,0.0025893195293649,0.0004326899107202,0,0.01,0.01
66.88,1672,0.0015840828103094,0.0007217564221313,0,0.01,0.01
66.92,1673,0.0018919148219721,0.0013614015184652,0,0.01,0.01
66.96,1674,0.0017196963309084,0.0004918243994192,0,0.01,0.01
67.0,1675,0.0066107895947484,0.0001156237195267,0,0.01,0.01
67.04,1676,0.0074723360039468,5.941479847478932e-05,0,0.01,0.01
67.08,1677,0.0023937100243075,0.0002738936506224,0,0.01,0.01
67.12,1678,0.0002252834667793,0.0003805970871261,0,0.01,0.01
