Time,Frame,nose_dist,body_dist,freezing,darting,Left,Right
214.72,5368,0.0042106609774575,0.0038692391731401,0,0,0.0,0.0
214.76,5369,0.0039232032251174,0.0046507458466903,0,0,0.0,0.0
214.8,5370,0.0038625799800004,0.0041743165685651,0,0,0.0,0.0
214.84,5371,0.002485268315984,0.003123690398278,0,0,0.0,0.0
214.88,5372,0.0006801372486827,0.003352313454559,0,0,0.0,0.0
214.92,5373,0.0002247925681505,0.0007634903737732,0,0,0.0,0.0
214.96,5374,0.0002719312277547,0.000172499424019,0,0,0.0,0.0
215.0,5375,0.0002759863803422,0.0001273698787166,0,0,0.0,0.0
215.04,5376,8.827181341095455e-05,0.0002810364570982,0,0,0.0,0.0
215.08,5377,0.0009155155633328,9.623174589398752e-05,0,0,0.0,0.0
215.12,5378,0.0033029386940922,0.0003125890565877,0,0,0.0,0.0
215.16,5379,0.0038920189092229,0.0002619847048986,0,0,0.0,0.0
215.2,5380,0.0027272687424328,7.282289858386066e-05,0,0,0.0,0.0
215.24,5381,0.0018266993209935,8.521886432436414e-05,0,0,0.0,0.0
215.28,5382,0.0066327896738534,0.0003633425760155,0,0,0.0,0.0
215.32,5383,0.0065434624743015,0.0003386136145766,0,0,0.0,0.0
215.36,5384,0.0026348405248509,0.0002560530941235,0,0,0.0,0.0
215.4,5385,0.0009302787108474,0.0001437111166964,0,0,0.0,0.0
215.44,5386,0.0002423494823959,0.0001330323683044,0,0,0.0,0.0
215.48,5387,0.000786130843085,9.36735728800757e-05,0,0,0.0,0.0
215.52,5388,0.0013240116312741,0.0005173639210414,0,0,0.0,0.0
215.56,5389,0.0020437008561301,0.0009405811974246,0,0,0.0,0.0
215.6,5390,0.0015453733118472,0.0007367314973171,0,0,0.0,0.0
215.64,5391,0.0009022526481114,0.0003666869621804,0,0,0.0,0.0
215.68,5392,0.0007664507162289,4.0882327382503234e-05,0,0,0.0,0.0
215.72,5393,0.0002489595416591,0.0001633965470174,0,0,0.0,0.0
215.76,5394,0.0003540006635156,0.0001591026158517,0,0,0.0,0.0
215.8,5395,0.0006588732991013,0.0001066380427384,0,0,0.0,0.0
215.84,5396,0.0003658397427737,0.0003149699838429,0,0,0.0,0.0
215.88,5397,0.0007268595830518,0.0003586879605292,0,0,0.0,0.0
215.92,5398,0.0022359899053847,0.0002151854719287,0,0,0.0,0.0
215.96,5399,0.0020576092507362,0.0002481147644462,0,0,0.0,0.0
216.0,5400,0.0077483196354603,0.0009506466910503,0,0,0.0,0.0
216.04,5401,0.0089869278478909,0.0007453609775565,0,0,0.07,0.0
216.08,5402,0.0046258887579694,0.0006910988231964,0,0,0.38,0.0
216.12,5403,0.0033276427676506,0.0010936191212357,0,0,0.55,0.0
216.16,5404,0.0009313595993723,0.0003573675417999,0,0,0.75,0.0
216.2,5405,0.0009072585083886,0.000611828008192,0,0,0.78,0.0
216.24,5406,0.000878632787217,0.0009955525388631,0,0,0.79,0.0
216.28,5407,0.0012530034380615,0.0003884387002739,0,0,0.71,0.0
216.32,5408,0.0041369535142258,0.0005034986320098,0,0,0.57,0.0
216.36,5409,0.004293088008023,0.0001880009384153,0,0,0.42,0.0
216.4,5410,0.0049443743822054,0.0001225956854737,0,0,0.34,0.0
216.44,5411,0.0020185603294417,0.0001180324607822,0,0,0.15,0.0
216.48,5412,0.0052756712101231,0.0003543586745581,0,0,0.01,0.0
216.52,5413,0.0092484547090239,0.0004851458484493,0,0,0.0,0.0
216.56,5414,0.0042567338604455,0.0002440252071818,0,0,0.0,0.0
216.6,5415,0.0042460303251837,0.0003104829455134,0,0,0.0,0.0
216.64,5416,0.0021398382138261,0.00087740691427,0,0,0.0,0.0
216.68,5417,0.00295384874197,0.0021079049730543,0,0,0.0,0.0
216.72,5418,0.0055272692767782,0.0045915821212837,0,0,0.0,0.0
216.76,5419,0.0103117393910514,0.0086030010573671,0,0,0.0,0.0
216.8,5420,0.0037448763166694,0.0031801752788656,0,0,0.0,0.0
216.84,5421,0.007049948895193,0.0067844905284134,0,0,0.0,0.0
216.88,5422,0.0092526648569628,0.0108612731001316,0,0,0.0,0.0
216.92,5423,0.0075423887498008,0.0085646483193592,0,0,0.0,0.0
216.96,5424,0.0057884362946821,0.0066638836511578,0,0,0.0,0.0
217.0,5425,0.0020605899201041,0.0021866845030943,0,0,0.0,0.0
217.04,5426,0.005114775529967,0.0047805868259329,0,0,0.0,0.0
217.08,5427,0.0083959428287889,0.0074618449185771,0,0,0.0,0.0
217.12,5428,0.0061723354162496,0.0064472349608438,0,0,0.0,0.0
217.16,5429,0.0083511558256292,0.0080915822822841,0,0,0.0,0.0
217.2,5430,0.0026398991701348,0.0024852622299174,0,0,0.0,0.0
217.24,5431,0.0042633535416955,0.0042621671139999,0,0,0.0,0.0
217.28,5432,0.0065834960191704,0.0073593038709971,0,0,0.0,0.0
217.32,5433,0.0057367091130954,0.0057113765921815,0,0,0.0,0.0
217.36,5434,0.0076371930345405,0.0063551040789071,0,0,0.0,0.0
217.4,5435,0.0024754452249768,0.0021278487185815,0,0,0.0,0.0
217.44,5436,0.005582606900059,0.0048809415702075,0,0,0.0,0.0
217.48,5437,0.0107014439209097,0.0106174327224945,0,0,0.0,0.0
217.52,5438,0.0087125939204868,0.0096670344890258,0,0,0.0,0.0
217.56,5439,0.0102590529946601,0.0106464185560442,0,0,0.0,0.0
217.6,5440,0.0040402098416368,0.0057642436552368,0,0,0.0,0.0
217.64,5441,0.0004984081155661,0.0011927845029315,0,0,0.0,0.0
217.68,5442,0.0001164158828605,0.0001180865453511,0,0,0.0,0.0
217.72,5443,0.0001488718745488,0.0003978339874169,0,0,0.0,0.0
217.76,5444,0.0001506925115412,0.0003295851262474,0,0,0.0,0.0
217.8,5445,0.0008950964036901,0.0012523692733539,0,0,0.0,0.0
217.84,5446,0.0034116176877952,0.0019224811477493,0,0,0.0,0.0
217.88,5447,0.0037316100386624,0.0016185431924736,0,0,0.0,0.0
217.92,5448,0.0053897910000272,0.0017858282512262,0,0,0.0,0.0
217.96,5449,0.0015329685796797,0.0004905989947162,0,0,0.0,0.0
218.0,5450,0.0028164700061169,0.0002577397224094,0,0,0.0,0.0
218.04,5451,0.0068324041505417,6.035172736801827e-05,0,0,0.0,0.0
218.08,5452,0.0045420834465328,0.0001408649309855,0,0,0.0,0.0
218.12,5453,0.0047925819438732,0.000643342269916,0,0,0.0,0.0
218.16,5454,0.0048645834648145,0.0004700973002213,0,0,0.0,0.0
218.2,5455,0.0036750285711261,0.0002341546389825,0,0,0.0,0.0
218.24,5456,0.0021204311702812,0.00012659544565,0,0,0.0,0.0
218.28,5457,0.0066158329294119,0.0002966739598049,0,0,0.0,0.0
218.32,5458,0.0078141382947547,0.0006411515438699,0,0,0.0,0.0
218.36,5459,0.0027077454542648,0.0004403510228772,0,0,0.0,0.0
218.4,5460,0.0027650816789337,0.0009043366135108,0,0,0.0,0.0
218.44,5461,0.0012705903609678,0.0005455743921946,0,0,0.0,0.0
218.48,5462,0.0037179276343447,0.0019425819282766,0,0,0.0,0.0
218.52,5463,0.0054778462501331,0.003256012588594,0,0,0.0,0.0
218.56,5464,0.0018219992123153,0.0018358245191468,0,0,0.0,0.0
218.6,5465,0.00030854900616,0.0012346078705068,0,0,0.0,0.0
218.64,5466,0.0006982730681604,0.0020418088562739,0,0,0.0,0.0
218.68,5467,0.001888555021797,0.0020439164655457,0,0,0.0,0.0
218.72,5468,0.0050811675516664,0.0005633981492743,0,0,0.0,0.0
218.76,5469,0.0040032918743221,7.439996483280808e-05,0,0,0.0,0.0
218.8,5470,0.0008947048347278,3.5883033258586906e-05,0,0,0.0,0.0
218.84,5471,0.0005923329715683,6.482403245674641e-05,0,0,0.0,0.0
218.88,5472,0.0016631693372357,0.0001986100535841,0,0,0.0,0.0
218.92,5473,0.0011616273866172,9.879410317664922e-05,0,0,0.0,0.0
218.96,5474,0.0007338475890548,0.000201692667605,0,0,0.0,0.0
219.0,5475,0.0024009739204259,0.0005460900800454,0,0,0.0,0.0
219.04,5476,0.0070108236190989,0.0017262362565446,0,0,0.0,0.0
219.08,5477,0.0079805144430066,0.0006094901060453,0,0,0.0,0.0
219.12,5478,0.0078541878066108,0.0012369445393331,0,0,0.0,0.0
219.16,5479,0.0024774847584813,0.0003040491595308,0,0,0.0,0.0
219.2,5480,0.0054939637722735,0.0005426203214162,0,0,0.0,0.0
219.24,5481,0.011882816192278,0.0023905556524561,0,0,0.0,0.0
219.28,5482,0.0081771008303167,0.0018516618791933,0,0,0.0,0.0
219.32,5483,0.0052715439434233,0.001566911722781,0,0,0.0,0.0
219.36,5484,0.0050526787226166,0.0009475812474032,0,0,0.0,0.0
219.4,5485,0.0093339964539041,0.0005954461048612,0,0,0.0,0.0
219.44,5486,0.0111552698337678,0.0003078666383303,0,0,0.0,0.0
219.48,5487,0.0081394668508957,0.0003505061431558,0,0,0.0,0.0
219.52,5488,0.0055286054237348,0.0014592049726394,0,0,0.0,0.0
219.56,5489,0.0057968880884216,0.0046496190388544,0,0,0.0,0.0
219.6,5490,0.0018483654504,0.001725542021418,0,0,0.0,0.0
219.64,5491,0.0036127608641873,0.0029634328520439,0,0,0.0,0.0
219.68,5492,0.0084916476082452,0.0032734755348578,0,0,0.0,0.0
219.72,5493,0.0055659956334084,0.0022563331442035,0,0,0.0,0.0
219.76,5494,0.0060489062872234,0.0006517015643973,0,0,0.0,0.0
219.8,5495,0.0048755558464302,0.0003933899917442,0,0,0.0,0.0
219.84,5496,0.0036722945551279,0.0006531617035873,0,0,0.0,0.0
219.88,5497,0.0017387367413105,0.0005382558651147,0,0,0.0,0.0
219.92,5498,0.0004023351857687,0.0004295128282635,0,0,0.0,0.0
219.96,5499,0.0007337755503296,0.0011792285281551,0,0,0.0,0.0
220.0,5500,0.0002211087913742,0.0003317612354278,0,0,0.0,0.0
220.04,5501,0.0001525713044449,0.0004297495054716,0,0,0.0,0.0
220.08,5502,0.0002509646562334,0.0001248915267615,0,0,0.0,0.0
220.12,5503,0.0011305780398887,0.000126294103821,0,0,0.0,0.0
220.16,5504,0.0025679307095999,0.0004221522923419,0,0,0.0,0.0
220.2,5505,0.0066656086932494,0.0004684872171709,0,0,0.0,0.0
220.24,5506,0.0041753442962641,0.0001260858599984,0,0,0.0,0.0
220.28,5507,0.0011403042901471,0.0002868541459303,0,0,0.0,0.0
220.32,5508,0.0044676345464218,0.0037483838320059,0,0,0.0,0.0
220.36,5509,0.0110432697847425,0.0109652306113466,0,0,0.0,0.0
220.4,5510,0.005158979551465,0.0053472883449536,0,0,0.0,0.0
220.44,5511,0.0114616905827382,0.0116584650539398,0,0,0.0,0.0
220.48,5512,0.0074317335537908,0.0062429043727526,0,0,0.0,0.0
220.52,5513,0.0048920336173769,0.0043974859762207,0,0,0.0,0.0
220.56,5514,0.0147304213324387,0.013950604408479,0,0,0.0,0.0
