Time,Frame,nose_dist,body_dist,freezing,body,Left,Right
74.92,1873,0.0070940876774902,0.0045609304676005,0,other,0,0
74.96,1874,0.0079121341619895,0.0062219578973322,0,other,0,0
75.0,1875,0.0021250034265966,0.0020650632815647,0,other,0,0
75.04,1876,0.0030144186715586,0.0030848373821913,0,other,0,0
75.08,1877,0.006675969040237,0.0042439475500265,0,other,0,0
75.12,1878,0.003293040087622,0.0035945416689902,0,other,0,0
75.16,1879,0.0035418150789611,0.0044259909906724,0,other,0,0
75.2,1880,0.001224329729516,0.0018807627677002,0,other,0,0
75.24,1881,0.0023720332250426,0.0043165023648465,0,other,0,0
75.28,1882,0.0034989065097599,0.0041507992287446,0,other,0,0
75.32,1883,0.0024519886054703,0.0025846909292859,0,other,0,0
75.36,1884,0.0018590353709097,0.0027900768601684,0,other,0,0
75.4,1885,0.000689659705857,0.0011414464067891,0,other,0,0
75.44,1886,0.0020573941047199,0.0032187772929776,0,other,0,0
75.48,1887,0.0036725628359897,0.0034215355955884,0,other,0,0
75.52,1888,0.0022568408905782,0.0013321804814473,0,other,0,0
75.56,1889,0.0018954167011349,0.0023073267128491,0,other,0,0
75.6,1890,0.0007332160954413,0.0009619703337947,0,other,0,0
75.64,1891,0.0008733414414889,0.0001618662896335,0,other,0,0
75.68,1892,0.0024327859428157,5.9925458052378375e-05,0,other,0,0
75.72,1893,0.0026193781467403,0.0002165427399868,0,other,0,0
75.76,1894,0.0005375522251516,0.0001132915653785,0,other,0,0
75.8,1895,0.0015345492698442,0.0006673865158614,0,other,0,0
75.84,1896,0.0064657565746214,0.0020946226957183,0,other,0,0
75.88,1897,0.0047461519739175,0.0023631395084065,0,other,0,0
75.92,1898,0.0082492245579788,0.0033679707322419,0,other,0,0
75.96,1899,0.0043987180343885,0.0018737563946784,0,other,0,0
76.0,1900,0.0024383260040811,0.0003759987762267,0,other,0,0
76.04,1901,0.0035250619804758,0.0002726589179167,0,other,0,0
76.08,1902,0.0034534501942909,0.0005504659267017,0,other,0,0
76.12,1903,0.010837620291814,0.0017173158105137,0,other,0,0
76.16,1904,0.0037533473155648,0.0004239485498217,0,other,0,0
76.2,1905,0.0053544354893036,0.0007831084136006,0,other,0,0
76.24,1906,0.0083161029239379,0.0037698609180603,0,other,0,0
76.28,1907,0.0086172115524489,0.0052848917819907,0,other,0,0
76.32,1908,0.0123869955886012,0.0085850707097578,0,other,0,0
76.36,1909,0.0045013690761843,0.0035362727161231,0,centre,0,0
76.4,1910,0.0102170807845774,0.0096793118960694,0,centre,0,0
76.44,1911,0.0170638372274626,0.0176398405888312,0,centre,0,0
76.48,1912,0.0114513416922557,0.0129234074225454,0,centre,0,0
76.52,1913,0.0112097301747381,0.0118816015120204,0,centre,0,0
76.56,1914,0.003205574826646,0.0035499280963247,0,centre,0,0
76.6,1915,0.005019356969417,0.0054708615172609,0,centre,0,0
76.64,1916,0.0077760529830586,0.0074785790770774,0,centre,0,0
76.68,1917,0.0045989383673179,0.0037990250347531,0,centre,0,0
76.72,1918,0.0084801617753135,0.0033595813965109,0,centre,0,0
76.76,1919,0.0043759066736788,0.0020923557668564,0,centre,0,0
76.8,1920,0.0015131523376933,0.0005569192646524,0,centre,0,0
76.84,1921,0.0042581861760549,0.0011360753415064,0,centre,0,0
76.88,1922,0.0046000994748231,0.003592467764944,0,centre,0,0
76.92,1923,0.0050743138135047,0.007835323305009,0,centre,0,0
76.96,1924,0.001729326958297,0.0022479764232046,0,centre,0,0
77.0,1925,0.0043644016010164,0.0027467671493392,0,centre,0,0
77.04,1926,0.0089928909225362,0.0053887181505867,0,centre,0,0
77.08,1927,0.0102654000251619,0.0040495015031179,0,centre,0,0
77.12,1928,0.0113723816213295,0.0081244707001648,0,centre,0,0
77.16,1929,0.007265657822473,0.0063377724583341,0,centre,0,0
77.2,1930,0.0021570414810635,0.0024707075424673,0,centre,0,0
77.24,1931,0.0045421360439894,0.0064062158065204,0,centre,0,0
77.28,1932,0.0069459497362824,0.0082112139438255,0,centre,0,0
77.32,1933,0.0087532456034757,0.0074911842139527,0,other,0,0
77.36,1934,0.004433302451852,0.0037518909111231,0,other,0,0
77.4,1935,0.0015690436091789,0.0009961890079464,0,other,0,0
77.44,1936,0.0045778456824022,0.0008249177582921,0,other,0,0
77.48,1937,0.0071274890736636,0.0015130473090519,0,other,0,0
77.52,1938,0.0102006540509797,0.0028345476204569,0,other,0,0
77.56,1939,0.0026280611310035,0.0008897265925379,0,other,0,0
77.6,1940,0.0008766702104182,0.0006966424987053,0,other,0,0
77.64,1941,0.0002268621580668,0.0013608704887978,0,other,0,0
77.68,1942,0.0009605119785487,0.0004672696382513,0,other,0,0
77.72,1943,0.0037069667546925,6.957549555498103e-05,0,other,0,0
77.76,1944,0.0010587842824056,8.709849636643341e-05,0,other,0,0
77.8,1945,0.0006227041500984,0.0003379627699128,0,other,0,0
77.84,1946,0.0005180707757009,0.000309190606271,0,other,0,0
77.88,1947,0.0008624055315532,6.017672073393253e-05,0,other,0,0
77.92,1948,0.0025299752472938,0.0,0,other,0,0
77.96,1949,0.0008723317167204,3.731685984599941e-05,0,other,0,0
78.0,1950,0.0009841068375486,0.0001956130697933,0,other,0,0
78.04,1951,0.0002461371767717,0.0003139513446229,0,other,0,0
78.08,1952,0.00035534033245,0.0002071993938257,0,other,0,0
78.12,1953,0.0011869151486859,3.770554286021226e-05,0,other,0,0
78.16,1954,0.0004556039195363,9.928582055887274e-06,0,other,0,0
78.2,1955,0.0006499166538736,7.024418603215702e-05,0,other,0,0
78.24,1956,0.0001808161919163,0.0003246132388441,0,other,0,0
78.28,1957,0.0001184673694642,0.0005151706045037,0,other,0,0
78.32,1958,9.32984231155344e-05,0.0002870464011646,0,other,0,0
78.36,1959,0.000138699603834,4.6268085606871376e-05,0,other,0,0
78.4,1960,0.001742703705747,0.0,0,other,0,0
78.44,1961,0.0062343047859227,3.93985162101131e-05,0,other,0,0
78.48,1962,0.0066574122895504,0.0003273482431231,0,other,0,0
78.52,1963,0.0066960411126155,0.0007295407431091,0,other,0,0
78.56,1964,0.0018545760774275,0.0002501595718491,0,other,0,0
78.6,1965,0.0015311292126743,0.0003919831278944,0,other,0,0
78.64,1966,0.0018478841914451,0.0006107827919513,0,other,0,0
78.68,1967,0.0013502143398961,0.0005394982636312,0,other,0,0
78.72,1968,0.0010100355211554,0.0003020435046946,0,other,0,0
78.76,1969,0.0006901659073001,0.0001038358728534,0,other,0,0
78.8,1970,0.0033134605946106,1.324965586340987e-05,0,other,0,0
78.84,1971,0.0041709713086375,4.803498630307602e-05,0,other,0,0
78.88,1972,0.0014667103180959,0.0001021196210661,0,other,0,0
78.92,1973,0.0019759743784537,4.723305876773796e-05,0,other,0,0
78.96,1974,0.0004862743022397,9.153373316827528e-05,0,other,0,0
79.0,1975,0.0004061722273672,0.0003010354821306,0,other,0,0
79.04,1976,0.0021904806407356,0.0002818169603285,0,other,0,0
79.08,1977,0.0043148025325061,0.0004867788733253,0,other,0,0
79.12,1978,0.0083272631751619,0.001043956061116,0,other,0,0
79.16,1979,0.0061589924176622,0.0011643458547774,0,other,0,0
79.2,1980,0.0024530298997505,0.0009296436112998,0,other,0,0
79.24,1981,0.0073776116338788,0.0044359469570407,0,other,0,0
79.28,1982,0.0104207362504719,0.0084871000045696,0,other,0,0
79.32,1983,0.0057195693295141,0.0051789227460972,0,other,0,0
79.36,1984,0.0027025555456,0.0026835037188112,0,other,0,0
79.4,1985,0.0078476134327892,0.0079865351933231,0,other,0,0
79.44,1986,0.005234372269403,0.0052408339670509,0,other,0,0
79.48,1987,0.0035964743059576,0.0031860758052865,0,other,0,0
79.52,1988,0.0007277333938275,0.0016869871386153,0,other,0,0
79.56,1989,0.0001270990066747,0.0002993703853594,0,other,0,0
79.6,1990,0.0005097167869417,0.0003027511411564,0,other,0,0
79.64,1991,0.0001270990066747,0.0010474724663719,0,other,0,0
79.68,1992,0.0003495118547288,0.000848415067841,0,other,0,0
79.72,1993,0.0014016794013682,0.0005696889051374,0,other,0,0
79.76,1994,0.0003495118547287,0.0001102299521646,0,other,0,0
79.8,1995,0.0007301950304514,1.6615824878619138e-05,0,other,0,0
79.84,1996,0.0030097780027981,0.0001132693357045,0,other,0,0
79.88,1997,0.0011916975401667,0.0002037523317369,0,other,0,0
79.92,1998,0.0005812292719279,4.673720972139541e-05,0,other,0,0
79.96,1999,0.0003368925687001,0.0001373143329784,0,other,0,0
