Time,Frame,nose_dist,body_dist,freezing,body,Mice,Object
80.33,1205,0.0034955773857543,0.000891277296428,0,blue_chamber,1,0
80.4,1206,0.0001946009855895,0.0010710870757178,0,blue_chamber,1,0
80.47,1207,0.0022155072808967,0.0009437946921745,0,blue_chamber,1,0
80.53,1208,0.0012396263153078,0.0007015751595573,0,blue_chamber,1,0
80.6,1209,0.0012883815515045,0.0012867044168631,0,blue_chamber,1,0
80.67,1210,0.0014704063791843,0.0007262863223907,0,blue_chamber,1,0
80.73,1211,0.0039711695375912,0.000280929868871,0,blue_chamber,1,0
80.8,1212,0.0008500930154707,0.0001115714751549,0,blue_chamber,1,0
80.87,1213,0.002751835302569,0.0008634340722931,0,blue_chamber,1,0
80.93,1214,0.0109190443041289,0.003417389514389,0,blue_chamber,1,0
81.0,1215,0.0114945919136096,0.0026175535684242,0,blue_chamber,0,0
81.07,1216,0.0150062235684078,0.0005103325142479,0,blue_chamber,0,0
81.13,1217,0.0235726182387292,0.0032399863112894,0,blue_chamber,0,0
81.2,1218,0.0254278888552696,0.0094125129705771,0,blue_chamber,0,0
81.27,1219,0.0225875694693217,0.0185477163367817,0,blue_chamber,0,0
81.33,1220,0.0178307008150005,0.0190251182020282,0,blue_chamber,0,0
81.4,1221,0.011607234416764,0.0121645348415051,0,blue_chamber,0,0
81.47,1222,0.0071762324741826,0.0058826826858324,0,blue_chamber,0,0
81.53,1223,0.0012268049301699,0.0012130708984822,0,blue_chamber,0,0
81.6,1224,0.0117978276195165,0.0002557778497597,0,blue_chamber,0,0
81.67,1225,0.0164206051108329,0.0035835256190737,0,blue_chamber,0,0
81.73,1226,0.0192472617414383,0.0132344171308527,0,blue_chamber,0,0
81.8,1227,0.0192999020162922,0.0201710524837217,0,blue_corner,0,0
81.87,1228,0.0167741222319974,0.0172148678114386,0,blue_corner,0,0
81.93,1229,0.0129495533969787,0.0120363815369389,0,blue_corner,0,0
82.0,1230,0.0122112603219936,0.0121561544489877,0,blue_corner,0,0
82.07,1231,0.0126822306650304,0.0119866838101303,0,blue_corner,0,0
82.13,1232,0.012991842314231,0.0120814951425153,0,blue_corner,0,0
82.2,1233,0.0124248163258536,0.0125269074396083,0,blue_corner,0,0
82.27,1234,0.0118992503017642,0.0110456010958079,0,blue_corner,0,0
82.33,1235,0.0100532932036079,0.0104028176438049,0,blue_corner,0,0
82.4,1236,0.0043801481118597,0.0098698524521291,0,blue_corner,0,0
82.47,1237,0.0023156056523524,0.0077271499444431,0,blue_corner,0,0
82.53,1238,0.0071262592324887,0.005055644371996,0,blue_corner,0,0
82.6,1239,0.0057400297412419,0.0012468715335696,0,blue_corner,0,0
82.67,1240,0.0055783726272649,0.0001689149295219,0,blue_corner,0,0
82.73,1241,0.0066582300860752,0.0015615773861091,0,blue_corner,0,0
82.8,1242,0.0105667599631554,0.0036164066049316,0,blue_corner,0,0
82.87,1243,0.0135071316203642,0.0084526686170157,0,blue_corner,0,0
82.93,1244,0.0138293022754316,0.0116242057752935,0,blue_corner,0,0
83.0,1245,0.0099791238198348,0.0122194363073017,0,blue_corner,0,0
83.07,1246,0.0008027990547622,0.0115734762482489,0,blue_corner,0,0
83.13,1247,0.0089867060381806,0.0112627197628892,0,blue_corner,0,0
83.2,1248,0.0041108715142657,0.0159040657905057,0,blue_chamber,0,0
83.27,1249,0.0123667291019661,0.0106683921923731,0,blue_chamber,0,0
83.33,1250,0.0377128347684129,0.0129642777936958,0,blue_chamber,0,0
83.4,1251,0.0326123880255079,0.0164414124797906,0,blue_chamber,0,0
83.47,1252,0.0171762199381159,0.0167041117222741,0,blue_chamber,0,0
83.53,1253,0.0196380600258316,0.0147428093099158,0,blue_chamber,0,0
83.6,1254,0.0180312489763923,0.0120418512229543,0,blue_chamber,0,0
83.67,1255,0.0147054086209399,0.013297201961914,0,blue_chamber,0,0
83.73,1256,0.0111025893122029,0.0093919206497137,0,blue_chamber,0,0
83.8,1257,0.0045984240584639,0.0050307204435197,0,blue_chamber,0,0
83.87,1258,0.0026843780635241,0.0020906536314077,0,blue_chamber,0,0
83.93,1259,0.0006960503673164,0.000384970136759,0,blue_chamber,0,0
84.0,1260,0.0011195901102607,0.0003459857353585,0,blue_chamber,0,0
84.07,1261,0.0023537599287116,0.0007159081621143,0,blue_chamber,0,0
84.13,1262,0.0023812024907732,0.0007478558699565,0,blue_chamber,0,0
84.2,1263,0.0054688736190819,0.0011563500530122,0,blue_chamber,0,0
84.27,1264,0.0080008224782152,0.0042533380483043,0,blue_chamber,0,0
84.33,1265,0.0100992909941014,0.0067172175032554,0,blue_chamber,1,0
84.4,1266,0.0108459492733039,0.0093533665002573,0,blue_chamber,0,0
84.47,1267,0.011333795060881,0.0111770275873291,0,blue_chamber,0,0
84.53,1268,0.0090641333464632,0.0154929950528318,0,blue_chamber,1,0
84.6,1269,0.0009032810875964,0.014761762513535,0,blue_chamber,0,0
84.67,1270,0.010731735961227,0.0091187800402908,0,blue_chamber,0,0
84.73,1271,0.0031815611718196,0.0015695088504586,0,blue_chamber,0,0
84.8,1272,0.0224551364595075,0.0022955437205681,0,blue_chamber,1,0
84.87,1273,0.0058260149944706,0.0010353963433605,0,blue_chamber,1,0
84.93,1274,0.0002889100752222,0.0003954917017258,0,blue_chamber,1,0
85.0,1275,0.0001934901845671,0.0005037680312836,0,blue_chamber,1,0
85.07,1276,0.0003744664673288,0.0005103230806221,0,blue_chamber,1,0
85.13,1277,0.0017774845186023,0.001049027076064,0,blue_chamber,1,0
85.2,1278,0.0033534116708951,0.0022442700832217,0,blue_chamber,1,0
85.27,1279,0.0046588949296897,0.0032104198995052,0,blue_chamber,1,0
85.33,1280,0.0026775473283222,0.0041196403491944,0,blue_chamber,1,0
85.4,1281,0.000457424926003,0.0017199372039225,0,blue_chamber,1,0
85.47,1282,0.0015688512888563,0.0004454881794109,0,blue_chamber,1,0
85.53,1283,0.0024212179269666,0.0005971266948215,0,blue_chamber,1,0
85.6,1284,0.0037504822385697,0.0013062018284499,0,blue_chamber,1,0
85.67,1285,0.0024253120846526,0.0027421401523489,0,blue_chamber,1,0
85.73,1286,0.0007534689794705,0.0008102742863925,0,blue_chamber,1,0
85.8,1287,0.0038381870013714,0.0003004710621452,0,blue_chamber,1,0
85.87,1288,0.0055465551596411,0.0007182515402137,0,blue_chamber,1,0
85.93,1289,0.003458996286166,0.0013558414980753,0,blue_chamber,1,0
86.0,1290,0.0015575265478456,0.0021234638319839,0,blue_chamber,1,0
86.07,1291,0.0008223832041592,0.0014067239560803,0,blue_chamber,1,0
86.13,1292,0.0005725015750106,0.0008129713727576,0,blue_chamber,1,0
86.2,1293,0.0005275101938748,0.000535995674868,0,blue_chamber,1,0
86.27,1294,0.0003082257586079,0.0001277660260678,0,blue_chamber,1,0
86.33,1295,0.0001156750199699,2.42987425926358e-05,0,blue_chamber,1,0
86.4,1296,0.0006131188141151,0.0001220177125439,0,blue_chamber,1,0
86.47,1297,0.001099493788441,0.0010322783985336,0,blue_chamber,1,0
86.53,1298,0.0029256411588506,0.0033120974237419,0,blue_chamber,1,0
86.6,1299,0.0045711754649073,0.0044544535746498,0,blue_chamber,1,0
86.67,1300,0.0062905352205168,0.0047341123862975,0,blue_chamber,1,0
86.73,1301,0.0023163276114062,0.0045274528938081,0,blue_chamber,1,0
86.8,1302,0.0010835452048087,0.0021017959769856,0,blue_chamber,1,0
86.87,1303,0.0031144664222071,0.0011088561169189,0,blue_chamber,1,0
86.93,1304,0.0043543533715472,0.000520729863152,0,blue_chamber,1,0
87.0,1305,0.0052956590095694,0.0012785043766672,0,blue_chamber,1,0
87.07,1306,0.004929687253199,0.0017821616998706,0,blue_chamber,1,0
87.13,1307,0.0029285390192322,0.0014131142219707,0,blue_chamber,1,0
87.2,1308,0.0041075298606931,0.0023649386235797,0,blue_chamber,1,0
87.27,1309,0.0088330797335862,0.0077046030147566,0,blue_chamber,1,0
87.33,1310,0.0102920617576725,0.0077606549622783,0,blue_chamber,1,0
87.4,1311,0.0087778830249477,0.0033694431163388,0,blue_chamber,0,0
87.47,1312,0.0063774985881678,0.0033027309472701,0,blue_chamber,0,0
87.53,1313,0.0028066747771246,0.0030141215089992,0,blue_chamber,0,0
87.6,1314,0.0022855793503833,0.0019463367069721,0,blue_chamber,0,0
87.67,1315,0.0040283501233671,0.0022974618447614,0,blue_chamber,0,0
87.73,1316,0.001461726551855,0.0015633411481234,0,blue_chamber,1,0
87.8,1317,0.0001363213016344,0.0017321482148636,0,blue_chamber,1,0
87.87,1318,0.0007472912943529,0.0020600472552377,0,blue_chamber,1,0
87.93,1319,0.0040030362540958,0.0025615620721988,0,blue_chamber,0,0
88.0,1320,0.0064536554047768,0.0064492227181628,0,blue_chamber,0,0
88.07,1321,0.0059426636961498,0.0046826139780702,0,blue_chamber,0,0
88.13,1322,0.0062538682159424,0.0039553971245907,0,blue_chamber,0,0
88.2,1323,0.0069698626403181,0.0036874440442823,0,blue_chamber,0,0
88.27,1324,0.0097730564907809,0.0077772666264673,0,blue_chamber,0,0
88.33,1325,0.0114604367307622,0.0133476888718343,0,blue_chamber,0,0
88.4,1326,0.0045457429405487,0.016133838081307,0,blue_chamber,0,0
88.47,1327,0.0120654626628414,0.0141500258722816,0,blue_chamber,0,0
88.53,1328,0.0158565797774687,0.00569227035017,0,blue_chamber,0,0
88.6,1329,0.0039555371489169,0.0029485575905506,0,blue_chamber,0,0
88.67,1330,0.0001080927884282,0.0005841603080858,0,blue_chamber,0,0
88.73,1331,0.0006662147454434,0.0002149372065686,0,blue_chamber,0,0
88.8,1332,0.0002732255864122,0.0001324560845878,0,blue_chamber,0,0
88.87,1333,0.0001391490691815,7.22809445356462e-05,0,blue_chamber,0,0
88.93,1334,0.0001055134659767,5.192844063923617e-05,0,blue_chamber,0,0
89.0,1335,0.0010355700559547,0.0001173402322201,0,blue_chamber,0,0
89.07,1336,0.0047037855147209,0.0012476432827567,0,blue_chamber,0,0
89.13,1337,0.0105723183366548,0.0059245336366873,0,blue_chamber,0,0
89.2,1338,0.0102277386240151,0.0066862653294314,0,blue_chamber,0,0
89.27,1339,0.0036051794957416,0.0022363746845769,0,blue_chamber,0,0
89.33,1340,0.0005488687645827,0.0004462935432983,0,blue_chamber,0,0
89.4,1341,0.0014269721299109,0.0011155988961951,0,blue_chamber,0,0
89.47,1342,0.0046311033762337,0.0020931851090781,0,blue_chamber,1,0
89.53,1343,0.0066369112169713,0.001772917069145,0,blue_chamber,1,0
89.6,1344,0.0052370010045639,0.0007498919088738,0,blue_chamber,1,0
89.67,1345,0.0048746359754023,0.0008278982507347,0,blue_chamber,1,0
89.73,1346,0.0039377336016107,0.0002283260884134,0,blue_chamber,1,0
89.8,1347,0.0025530719165876,0.000396704017167,0,blue_chamber,1,0
89.87,1348,0.001748761732443,0.0013603457474911,0,blue_chamber,1,0
89.93,1349,0.0016205764430327,0.0019808524531751,0,blue_chamber,1,0
90.0,1350,0.001836311331515,0.0030125716371548,0,blue_chamber,1,0
90.07,1351,0.0022025498750632,0.0056278933714882,0,blue_chamber,1,0
