Time,Frame,nose_dist,body_dist,freezing,Known,Novel
147.84,3696,0.0127745179722431,0.0029063270142702,0,0.01,0.0
147.88,3697,0.0036878193365266,0.0007021795449623,0,0.01,0.0
147.92,3698,0.0033000743742956,0.0005679294233046,0,0.01,0.0
147.96,3699,0.0025478472342138,0.0001994565749028,0,0.01,0.0
148.0,3700,0.0007721878387045,0.0002059262498357,0,0.01,0.0
148.04,3701,0.0022261502206388,0.000243094932085,0,0.01,0.0
148.08,3702,0.0005716231289431,0.0001390492840815,0,0.01,0.0
148.12,3703,0.0004977372458781,0.0001054897916272,0,0.01,0.0
148.16,3704,0.0004290904513609,0.0002664797499857,0,0.01,0.0
148.2,3705,0.0008751064247101,7.882405633815627e-05,0,0.01,0.0
148.24,3706,0.0010334950235223,0.0003020785978845,0,0.01,0.0
148.28,3707,0.0027732168959931,0.0012137536357939,0,0.01,0.0
148.32,3708,0.0007682446517958,0.0004433920415072,0,0.01,0.0
148.36,3709,0.0012246014017789,0.0011476512990511,0,0.01,0.0
148.4,3710,0.0025989958142009,0.0026593306087954,0,0.01,0.0
148.44,3711,0.0026083931414247,0.0012911730267852,0,0.01,0.0
148.48,3712,0.0013577607960814,0.0001868296422149,0,0.01,0.0
148.52,3713,0.0002394519234341,1.5391552312878875e-05,0,0.01,0.0
148.56,3714,0.0006686459057767,6.1726151889019e-05,0,0.01,0.0
148.6,3715,0.0022970651872144,0.0001243232082237,0,0.01,0.0
148.64,3716,0.0012768633250557,0.0005264502122623,0,0.01,0.0
148.68,3717,0.0002062790238451,0.0004658381163876,0,0.01,0.0
148.72,3718,0.000168514075588,0.0001116710935474,0,0.01,0.0
148.76,3719,0.0008199176227549,3.4469908081962325e-05,0,0.01,0.0
148.8,3720,0.0007741858067764,0.0001372397485791,0,0.01,0.0
148.84,3721,0.0002625945332855,0.0001367964812192,0,0.01,0.0
148.88,3722,6.301939257653544e-05,0.0002792824109914,0,0.01,0.0
148.92,3723,0.0005085298748521,0.000238666170931,0,0.01,0.0
148.96,3724,0.0007391376376361,0.000847430141923,0,0.01,0.0
149.0,3725,0.0003238424224337,0.0002111189216494,0,0.01,0.0
149.04,3726,0.0001177380533106,0.000278256570223,0,0.01,0.0
149.08,3727,0.0001489207695829,0.0011184058702928,0,0.01,0.0
149.12,3728,0.0005876400529136,0.0003995806411589,0,0.01,0.0
149.16,3729,0.0001933432699276,0.0006312012031625,0,0.01,0.0
149.2,3730,0.0003500247073377,0.000595983335131,0,0.01,0.0
149.24,3731,0.000119162626329,0.0001182882812635,0,0.01,0.0
149.28,3732,0.0002641557575363,0.0001370943892998,0,0.01,0.0
149.32,3733,0.0005972294376669,0.0005539035251501,0,0.01,0.0
149.36,3734,0.0019026681945854,0.0003529915583327,0,0.01,0.0
149.4,3735,0.0007480793209286,0.0004159699960009,0,0.01,0.0
149.44,3736,0.0003329757653995,0.0007552683291082,0,0.01,0.0
149.48,3737,0.0004696953392771,0.0001983907888631,0,0.01,0.0
149.52,3738,0.0002006140260171,3.724831481406401e-05,0,0.01,0.0
149.56,3739,0.0010680232096675,0.0002684350009844,0,0.01,0.0
149.6,3740,0.0014356876903327,0.0007699898219013,0,0.01,0.0
149.64,3741,0.0013879475699736,0.0002806383218623,0,0.01,0.0
149.68,3742,0.0003292659817249,4.3280535445092e-05,0,0.01,0.0
149.72,3743,0.0002715868929661,0.0003662112713683,0,0.01,0.0
149.76,3744,0.0009343041871579,0.0014685544507366,0,0.01,0.0
149.8,3745,0.0009034415847334,0.0003661872960008,0,0.01,0.0
149.84,3746,0.0009401517038975,0.0003276279247813,0,0.01,0.0
149.88,3747,0.0018851389395166,0.0016421398299908,0,0.01,0.0
149.92,3748,0.0030406639431032,0.0020451224332533,0,0.01,0.0
149.96,3749,0.0010108766382592,0.0012938161148436,0,0.01,0.0
150.0,3750,0.0002404763398333,0.0002266442692797,0,0.01,0.0
150.04,3751,0.0005656405247064,0.0003429805706693,0,0.01,0.0
150.08,3752,0.0006731234867281,0.0017483991120104,0,0.01,0.0
150.12,3753,0.0019618578195134,0.0020332291512547,0,0.01,0.0
150.16,3754,0.0007753961516583,0.000482623936082,0,0.01,0.0
150.2,3755,0.000754361382018,0.0003230243835755,0,0.01,0.0
150.24,3756,0.0005275497130077,0.0001548792280937,0,0.01,0.0
150.28,3757,0.0013026374817805,0.0012788263979445,0,0.01,0.0
150.32,3758,0.0060302160352795,0.0040427174595108,0,0.01,0.0
150.36,3759,0.0064433169236424,0.0033122399600248,0,0.01,0.0
150.4,3760,0.0042236174206737,0.0032672673753057,0,0.01,0.0
150.44,3761,0.0116846116521245,0.0104372739036731,0,0.01,0.0
150.48,3762,0.0049104981769809,0.0040843088779266,0,0.0,0.0
150.52,3763,0.0123181471314868,0.0102241248441715,0,0.0,0.0
150.56,3764,0.0215787363677996,0.0205611464941171,0,0.0,0.0
150.6,3765,0.0123006644339095,0.012591552408707,0,0.0,0.0
150.64,3766,0.0149776420210108,0.0135320279074254,0,0.0,0.0
150.68,3767,0.010928820630419,0.0098718460105312,0,0.01,0.0
150.72,3768,0.0096224037450061,0.0088401373908711,0,0.01,0.0
150.76,3769,0.0098511852460802,0.0097078488044619,0,0.01,0.0
150.8,3770,0.0116551556871149,0.0131984497255722,0,0.01,0.01
150.84,3771,0.0040496613582406,0.0041382841277634,0,0.0,0.01
150.88,3772,0.0074177825651039,0.0062735735180489,0,0.0,0.01
150.92,3773,0.0076034364286778,0.007846958703613,0,0.0,0.01
150.96,3774,0.0043769400677992,0.0027352742195178,0,0.0,0.01
151.0,3775,0.0042091522159516,0.0003837127300432,0,0.0,0.01
151.04,3776,0.0014451413701441,0.0001771665180895,0,0.0,0.01
151.08,3777,0.0033764416514526,0.0010389527215245,0,0.0,0.01
151.12,3778,0.005037742391493,0.0026387699385927,0,0.01,0.01
151.16,3779,0.0029072612412277,0.0010163667706661,0,0.01,0.01
151.2,3780,0.0031373587945213,0.0007601022427339,0,0.01,0.01
151.24,3781,0.0007652731282843,0.0006109652883448,0,0.01,0.01
151.28,3782,0.0006624671628577,0.001368884798829,0,0.01,0.01
151.32,3783,0.0026853758960551,0.0004183691298818,0,0.01,0.01
151.36,3784,0.0012796834733237,8.26349556598043e-05,0,0.01,0.01
151.4,3785,0.0002484026924506,0.0002287250422618,0,0.01,0.01
151.44,3786,7.566227033809743e-05,5.7325730759300135e-05,0,0.01,0.01
151.48,3787,0.0011902795804532,5.946269378990975e-05,0,0.01,0.0
151.52,3788,0.0050046440310063,0.0005232963254994,0,0.01,0.0
151.56,3789,0.0083915872087553,0.0013985222215854,0,0.01,0.01
151.6,3790,0.010664264992544,0.0008160481831084,0,0.01,0.01
151.64,3791,0.0042837578131923,0.0003252086001208,0,0.01,0.01
151.68,3792,0.0005898689847399,5.150393189502722e-05,0,0.01,0.01
151.72,3793,0.0002535914628348,2.8690694098685295e-05,0,0.0,0.01
151.76,3794,0.0009681282091297,0.0002141839698424,0,0.0,0.01
151.8,3795,0.0018983851497645,0.0004293396564849,0,0.0,0.01
151.84,3796,0.0005559109126543,0.0001357625268574,0,0.0,0.01
151.88,3797,0.0004502847075712,0.0001995836487413,0,0.0,0.01
151.92,3798,0.0002714300483803,0.000268328738095,0,0.0,0.01
151.96,3799,0.0001538683880677,7.759692437502582e-05,0,0.0,0.01
152.0,3800,0.0005935344051942,4.4488492752918775e-05,0,0.0,0.01
152.04,3801,0.0003909763743606,9.832220461137214e-05,0,0.0,0.01
152.08,3802,0.0011898516565921,0.0004159299751932,0,0.0,0.01
152.12,3803,0.0014685613034996,0.0004301827584529,0,0.0,0.01
152.16,3804,0.0026271862783046,0.0004230693047587,0,0.0,0.01
152.2,3805,0.0037214572538347,0.0013199565135959,0,0.0,0.01
152.24,3806,0.0010555653512007,0.0004868592787927,0,0.0,0.01
152.28,3807,0.0019884024872052,0.0010040012480061,0,0.0,0.01
152.32,3808,0.0053549615226081,0.001547464591602,0,0.0,0.01
152.36,3809,0.0034443081745237,0.0003814201407652,0,0.0,0.01
152.4,3810,0.0007657127023443,3.858046946614855e-05,0,0.0,0.01
152.44,3811,0.0001750385063998,1.789440263905817e-05,0,0.0,0.01
152.48,3812,0.0005306731122019,0.000296599652497,0,0.0,0.01
152.52,3813,0.0004219680714028,0.0009938807639482,0,0.0,0.01
152.56,3814,0.0005197804863784,0.0005602859951208,0,0.0,0.01
152.6,3815,0.0010020796531191,0.0004922238902085,0,0.0,0.01
152.64,3816,0.0011590355256157,0.0002238193430612,0,0.0,0.01
152.68,3817,0.0006146834526687,0.0001095731050661,0,0.0,0.01
152.72,3818,0.000753101353989,5.755953051410585e-05,0,0.0,0.01
152.76,3819,0.0017173990615519,0.0002072674926503,0,0.0,0.01
152.8,3820,0.0006785481826162,0.0003598754258528,0,0.0,0.01
152.84,3821,0.0003971973216791,0.0002623398816055,0,0.0,0.01
152.88,3822,0.0003978539921083,0.0001748632298637,0,0.0,0.01
152.92,3823,0.0002999227996337,0.0002252063291439,0,0.0,0.01
152.96,3824,0.0002060357300941,0.0003139165734789,0,0.0,0.01
153.0,3825,5.932830956412616e-05,0.0004093798432887,0,0.0,0.01
153.04,3826,0.0001228274170264,0.0001111402405057,0,0.0,0.01
153.08,3827,0.0004347134973177,4.524976536898983e-05,0,0.0,0.01
153.12,3828,0.0006062198155205,0.0001081239914499,0,0.0,0.01
153.16,3829,0.0008919046916874,0.000184370847576,0,0.0,0.01
153.2,3830,0.0010377577981087,0.0002170393853514,0,0.0,0.01
153.24,3831,0.001205886744051,6.034836486097301e-05,0,0.0,0.01
153.28,3832,0.0004702941751306,6.586560521189e-05,0,0.0,0.01
153.32,3833,0.0006896714452816,0.0005930797800933,0,0.0,0.01
153.36,3834,0.0003732762933541,0.0014423324059203,0,0.0,0.01
153.4,3835,0.0008568840557335,0.0006812174489901,0,0.0,0.01
153.44,3836,0.0011798165483571,0.0013825262211294,0,0.0,0.01
153.48,3837,0.0011343600035172,0.0006799567904794,0,0.0,0.0
153.52,3838,0.0037689226478002,0.0017490544785423,0,0.0,0.0
153.56,3839,0.0012872257090701,0.0009877613152742,0,0.0,0.0
153.6,3840,0.0017327837615829,0.0001528950283794,0,0.0,0.0
153.64,3841,0.0047170886643537,2.284616078128256e-05,0,0.0,0.0
153.68,3842,0.0021501270113455,0.0002158905352862,0,0.0,0.0
153.72,3843,0.0070531164649775,0.0016385782174569,0,0.0,0.0
153.76,3844,0.0141159435237603,0.0048158401197936,0,0.0,0.0
153.8,3845,0.0053699283135854,0.0023724403184318,0,0.0,0.01
153.84,3846,0.0035009885252668,0.0018569556503555,0,0.0,0.01
153.88,3847,0.0009162941934866,0.0006025192610166,0,0.0,0.01
153.92,3848,0.002653080103856,0.0016615037148581,0,0.0,0.03
153.96,3849,0.008019554531235,0.0049322934194945,0,0.0,0.08
154.0,3850,0.0067939512672619,0.0060954707709688,0,0.0,0.5
154.04,3851,0.0068339528724926,0.0089936555316345,0,0.0,0.84
154.08,3852,0.0017229767629343,0.0022439422961036,0,0.0,0.93
154.12,3853,0.0010743627805545,0.0007126986736463,0,0.0,0.95
154.16,3854,0.0020483487156086,0.0003040300518971,0,0.0,0.96
154.2,3855,0.0028784582024706,0.0001434545686997,0,0.0,0.96
154.24,3856,0.0023505152336314,0.0005023629150116,0,0.0,0.96
154.28,3857,0.0023775685565105,0.0003730786847091,0,0.0,0.96
154.32,3858,0.0007617416717558,0.0001422949066505,0,0.0,0.96
154.36,3859,0.0003108453307194,0.0002767493635313,0,0.0,0.96
154.4,3860,0.0018493119279405,0.0012188563783233,0,0.0,0.96
154.44,3861,0.0028098051657442,0.0029971936100505,0,0.0,0.97
154.48,3862,0.0007542895141707,0.000997493940134,0,0.0,0.97
154.52,3863,0.000271360252754,0.0011690383163691,0,0.01,0.97
154.56,3864,0.0011137488023559,0.0012519070551239,0,0.01,0.97
154.6,3865,0.0003795754355352,0.0003854223707734,0,0.01,0.96
154.64,3866,0.0004202016863576,0.0006175724315761,0,0.01,0.95
154.68,3867,0.0015308183389363,0.0003195335271572,0,0.01,0.93
154.72,3868,0.0044065576190807,0.0035618912497274,0,0.01,0.86
154.76,3869,0.0171622075179595,0.0148386394842408,0,0.01,0.73
154.8,3870,0.0098877767332145,0.0091701379505334,0,0.01,0.52
154.84,3871,0.0070354827871993,0.0097747066629342,0,0.01,0.2
154.88,3872,0.0014804594348747,0.0025286152326191,0,0.01,0.1
154.92,3873,0.0008354391711487,0.0012273680741074,0,0.01,0.06
