Time,Frame,nose_dist,body_dist,freezing,body
145.64,3641,0.0011886716598633,0.0002784232265591,0,Arm_3
145.68,3642,0.0001421636661478,0.000528953251501,0,Arm_3
145.72,3643,0.0011520166389631,0.0004643678578036,0,Arm_3
145.76,3644,0.0028581484096341,0.0021737414185213,0,Arm_3
145.8,3645,0.0020985306938677,0.0033030196719557,0,Arm_3
145.84,3646,0.0029697398693225,0.0050200405904057,0,Arm_3
145.88,3647,0.0052464410437238,0.0042357268778405,0,Arm_3
145.92,3648,0.0033489135437651,0.0034120892942127,0,Arm_3
145.96,3649,0.0024186258332423,0.0031470039806768,0,Arm_3
146.0,3650,0.00411557637296,0.005352425788007,0,Arm_3
146.04,3651,0.0057657414622489,0.007430498721017,0,Arm_3
146.08,3652,0.0101298413918526,0.0079716244692876,0,Arm_3
146.12,3653,0.0110847507651128,0.0087729222967897,0,Arm_3
146.16,3654,0.0105634397083191,0.0117573820535934,0,Arm_3
146.2,3655,0.0153641690648778,0.013328671610415,0,Arm_3
146.24,3656,0.0153825434396025,0.0134983938935546,0,Arm_3
146.28,3657,0.0121210438354824,0.012912093078432,0,Arm_3
146.32,3658,0.0142889877707675,0.0123339805328123,0,Arm_3
146.36,3659,0.0114357640010963,0.0131633330552322,0,Arm_3
146.4,3660,0.0112723876163592,0.0133775629973426,0,Arm_3
146.44,3661,0.0163616451445788,0.0142936901139515,0,Arm_3
146.48,3662,0.0148501862955348,0.014358654208049,0,Arm_3
146.52,3663,0.0139292233408805,0.0132811836019055,0,Arm_3
146.56,3664,0.0135318237078473,0.0124310099605568,0,Arm_3
146.6,3665,0.0083460601960373,0.0102273153370702,0,Arm_3
146.64,3666,0.0069528439881829,0.0083994894269796,0,Arm_3
146.68,3667,0.0078928032412882,0.007030092724209,0,Arm_3
146.72,3668,0.0079027434689355,0.0080797805689851,0,Arm_3
146.76,3669,0.0082075714827507,0.0093103126102551,0,Arm_3
146.8,3670,0.0117540912433254,0.0091657098219943,0,Arm_3
146.84,3671,0.0083043400436841,0.0067982392224232,0,Arm_3
146.88,3672,0.0023220347334879,0.0019521719471922,0,Arm_3
146.92,3673,0.002924645680032,0.0006816585439206,0,Arm_3
146.96,3674,0.0037791887517227,0.0010511493563782,0,Arm_3
147.0,3675,0.0032079164597448,0.0009732745908389,0,Arm_3
147.04,3676,0.0013456566613043,0.0006912654952142,0,Arm_3
147.08,3677,0.0006252516046039,0.0004483328553635,0,Arm_3
147.12,3678,0.0021644509159995,0.0006475552259672,0,Arm_3
147.16,3679,0.0033624976692325,0.0029554256658386,0,Arm_3
147.2,3680,0.0032377310725198,0.0056118875105461,0,Arm_3
147.24,3681,0.004254614436791,0.0047714651861027,0,Arm_3
147.28,3682,0.0049298823915238,0.0042507234232639,0,Arm_3
147.32,3683,0.0043836107989083,0.0031534563728392,0,Arm_3
147.36,3684,0.0049890145171843,0.004585024017507,0,Arm_3
147.4,3685,0.0094245087114055,0.0053583981561717,0,Arm_3
147.44,3686,0.0051297179331282,0.0036948526305161,0,Arm_3
147.48,3687,0.0045310991147352,0.0032783270907121,0,Arm_3
147.52,3688,0.0038752777351773,0.0037266958639162,0,Arm_3
147.56,3689,0.0027182216301192,0.0028529187361669,0,Arm_3
147.6,3690,0.0015756022487929,0.0018251449833158,0,Arm_3
147.64,3691,0.0013330027367207,0.0004549555731469,0,Arm_3
147.68,3692,0.0018287606251457,0.0006513502949216,0,Arm_3
147.72,3693,0.0041811936621918,0.0036183796196075,0,Arm_3
147.76,3694,0.0085136465690221,0.0064004881520455,0,Arm_3
147.8,3695,0.012555052666052,0.0063359589706703,0,Arm_3
147.84,3696,0.0121600861716792,0.0060820812984592,0,Arm_3
147.88,3697,0.0090011859251502,0.0052459263559598,0,Arm_3
147.92,3698,0.0042617773956804,0.0013246091157259,0,Arm_3
147.96,3699,0.0030027608010433,0.0010965844069367,0,Arm_3
148.0,3700,0.0022768524676973,0.0009559039572039,0,Arm_3
148.04,3701,0.0041301878013256,0.00135935842394,0,Arm_3
148.08,3702,0.0038135676475472,0.0010055293206872,0,Arm_3
148.12,3703,0.0011222486991337,0.0007286352695759,0,Arm_3
148.16,3704,0.0031799786843834,0.0005782837845919,0,Arm_3
148.2,3705,0.0023494266548074,0.000474078800473,0,Arm_3
148.24,3706,0.0003786538263057,0.0004163065125212,0,Arm_3
148.28,3707,0.000297149764326,0.0004049236387342,0,Arm_3
148.32,3708,0.0005577288957936,0.0004396051309306,0,Arm_3
148.36,3709,0.0002820060366096,0.0005197285366183,0,Arm_3
148.4,3710,0.0003349760887471,0.0006451029019173,0,Arm_3
148.44,3711,0.0014232443224352,0.0008158157175959,0,Arm_3
148.48,3712,0.0017435846878236,0.0012317966079958,0,Arm_3
148.52,3713,0.0007770230166441,0.0021315231802521,0,Arm_3
