nose_x,nose_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,head_x,head_y,neck_x,neck_y,body_x,body_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_midside_x,left_midside_y,right_midside_x,right_midside_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,tail_base_x,tail_base_y,tail_mid_x,tail_mid_y,tail_end_x,tail_end_y,blue_cyl_x,blue_cyl_y,red_cyl_x,red_cyl_y
143.2496071123763,539.4575211966206,165.70383156956314,550.331289024583,166.80633187861022,531.8859455295358,159.042940213488,540.4278696554236,169.67616991631348,540.153510413531,202.93118972047048,545.8053670224139,178.01908789728404,560.2007668099582,184.00306649308013,524.9635118624589,193.95135230690414,561.5029238114189,201.98290493395538,530.3304900621127,207.35535747054612,565.9262388964345,219.34356182216192,530.6614294754588,240.27150229430936,554.9397996964691,277.4328040262733,550.1552660660909,305.3197326660156,526.7911991011107,138.0,111.0,840.0,111.0
127.10330417560682,540.0511281201658,146.57769714750927,552.1352961462294,149.24013295562852,533.1883778353048,141.21993184517382,541.1397206815736,151.55028697856895,543.8818331475698,185.45859408685425,550.5033576028482,159.74507688929776,563.6429845066184,166.3138917313745,526.6798208152867,174.45072476533116,567.6968314143223,184.14422182105454,532.0167378569629,189.2945787482859,572.2071971355414,201.8204146916737,531.2103211900851,225.76238612140264,558.4859747020279,269.67079690800176,551.9154126448468,304.02394221766707,526.4754997871761,138.0,111.0,840.0,111.0
126.59047724821372,533.8258058688816,141.01302852627836,550.3727847295096,147.26119441448728,532.5096725280573,138.79882189921744,538.790845377134,148.4452723969099,543.690026671273,180.2680131149916,552.9369418786442,151.17964437201198,563.2676173639973,163.93045660684234,526.8431528443398,167.0196511351411,568.8755557329192,179.810739702988,532.274084305624,182.98694230826752,575.0701772492743,194.7467289808234,531.4256688726247,221.58577091478836,561.1081611483781,265.2858158319199,552.3543090820312,298.7844460341414,526.1211186798466,138.0,111.0,840.0,111.0
136.27523576523848,517.2063689610613,140.51087951660156,539.6917205757262,152.82171940592545,526.7199504397153,142.36181357449124,527.8090431128397,149.704111148012,537.4191482775348,178.66508869126633,552.7122334019664,147.1107904338537,556.3572534802597,168.16423159985783,525.1925985216777,162.51445441272273,566.4340927679664,179.57847595214844,531.3825045484131,179.8759776497184,575.292509470369,193.422235848115,531.7297540230244,218.7942243147697,562.0723928583168,262.1765949411431,554.1424109434921,296.0354649320522,528.4159011922404,138.0,111.0,840.0,111.0
140.7010282626468,497.31080174641204,140.0723537346682,523.6827974785036,155.56106811318105,513.4825167801341,143.5957579589085,511.8425141449237,149.81177888228433,524.9761660334,173.55209217626566,548.8676819250077,142.05378126054754,541.0770481943247,170.40222951790926,519.3063531750961,155.27064540707977,558.2201228239567,178.78414397766616,528.0206427969138,171.1000847986008,573.2661187043757,191.6660188928143,531.6296161755677,208.79896278261515,564.0861764776208,250.6247007656608,562.5718909630277,287.47535324790636,539.9329384791747,138.0,111.0,840.0,111.0
141.32510442702608,479.1667123591462,137.3583627221726,507.3754248234996,155.24598068483857,498.24142322276236,143.1945718854325,494.5123844460008,147.97180018979375,510.25832238764946,163.38680887555302,540.1836172642716,135.9658119534751,524.479433119957,169.80433721036377,508.5168014362631,144.99238070635343,544.8970361262258,174.5152125735655,522.1454383121002,156.4986006710946,565.012093176554,186.8080349929388,530.6000371294358,192.0246769892877,563.8478705384396,231.21995115151623,569.4070359841053,269.7031083178598,550.8161342378155,138.0,111.0,840.0,111.0
141.54738079595975,462.1009814480079,133.0885859113233,490.0454445732503,152.53984695188024,483.7391452415665,141.21724757257533,477.8515024847914,143.69519224252193,494.9827276165143,153.2045947448493,528.0953321012166,129.15308409441164,508.4169734735668,165.80869386411695,496.56115523842357,135.23745959301482,528.8289428465303,168.88234090594804,514.0658467820454,142.68401170069384,551.5138785026322,179.01556831102442,527.1083158648996,175.98304596896722,557.7171443102587,212.05886484798376,569.6423360615232,253.3800859696655,554.3850468682889,138.0,111.0,840.0,111.0
142.34303058099337,442.253145943637,132.06043901916252,467.695573136122,151.6165574147925,463.92969877844956,140.6166515126837,457.59423703557,142.48823642080558,473.1432430135536,146.86827831288662,507.6493498300955,127.04608806738699,484.90460501640985,163.40234882262624,478.2560441477386,130.19522305031737,505.67627385913477,165.58500809211574,497.098780017373,134.5002445906894,528.8362338528243,171.94521244301106,514.489416609924,164.95360336788463,540.0532087166296,194.61499628176207,562.8951102978293,243.1824243364574,555.5115026599807,138.0,111.0,840.0,111.0
142.53626636486834,417.9613481978128,131.76214518952253,443.55240921820814,150.86099140690266,439.92589120484433,140.3602184795047,433.81805100841376,141.83284272846163,447.55174184657403,144.57109906888385,482.83836081561805,126.68876753571676,460.41994660092024,162.38049105193343,454.25646719074,128.98120519362078,479.54552423616457,163.71473250286755,474.30605197249747,129.02277697986892,502.87780709079607,168.64083898180465,491.4798177785156,156.36007622679463,516.2794965917334,179.84058311546158,548.5971963063198,227.6175133917799,555.1800048512011,138.0,111.0,840.0,111.0
142.41869216807788,393.74017398262197,131.66417116240873,417.22362849681946,151.3381457648128,413.82988039892393,140.87996034221408,407.6008313424104,141.67144775390625,421.53874072891483,143.48046335048053,458.16346834344375,126.48114852377277,434.7218550496584,161.6433984911394,429.2755287731445,127.71605858050975,454.2179669932559,161.61916198174077,451.55951108094916,124.99668855765599,478.73566517263095,164.97462068974224,472.3610974724886,147.7391801166368,494.0115015583807,162.38838041327955,532.1250514735179,205.62768885840646,551.3174712806376,138.0,111.0,840.0,111.0
