Time,Frame,nose_dist,body_dist,freezing,body,Object,Mice
169.93,2549,0.0046281794048475,0.0025044259152112,0,blue_corner,0,0
170.0,2550,0.0010083318224326,0.0009497036083833,0,blue_corner,0,0
170.07,2551,0.0035099220909758,0.0002518813771762,0,blue_corner,0,0
170.13,2552,0.0010861128853273,0.0002889854851608,0,blue_corner,0,0
170.2,2553,0.0037158991814472,0.0009583302719224,0,blue_corner,0,0
170.27,2554,0.003160501901802,0.0006083859859732,0,blue_corner,0,0
170.33,2555,0.007847742469651,0.0010252334374093,0,blue_corner,0,0
170.4,2556,0.0105396263772767,0.0011783751263682,0,blue_corner,0,0
170.47,2557,0.0125951051543408,0.0010011731699469,0,blue_corner,0,0
170.53,2558,0.0107701498306624,0.0025403539538169,0,blue_corner,0,0
170.6,2559,0.0104448367947522,0.0044757864039039,0,blue_corner,0,0
170.67,2560,0.0091502763482786,0.0064625007644302,0,blue_corner,0,0
170.73,2561,0.0095100538320935,0.0080926525395643,0,blue_corner,0,0
170.8,2562,0.0094150404224007,0.0089751280359305,0,blue_corner,0,0
170.87,2563,0.0106779092145596,0.011403030099307,0,blue_corner,0,0
170.93,2564,0.0086625866847598,0.0084276803851642,0,blue_corner,0,0
171.0,2565,0.003598063928861,0.0034853291319398,0,blue_corner,0,0
171.07,2566,0.0033284490061638,0.0003921355229291,0,blue_corner,0,0
171.13,2567,0.0050368578191175,0.0011300005732445,0,blue_corner,0,0
171.2,2568,0.0078153146468034,0.0019460794948483,0,blue_corner,0,0
171.27,2569,0.0099457800532753,0.0020071811791883,0,blue_corner,0,0
171.33,2570,0.0074669802463536,0.0015539465202644,0,blue_corner,0,0
171.4,2571,0.004746921454039,0.0007544205734864,0,blue_corner,0,0
171.47,2572,0.0008926104241828,0.0006503211356351,0,blue_corner,0,0
171.53,2573,0.0026159405519401,0.0010995668080005,0,blue_corner,0,0
171.6,2574,0.0045415772580302,0.0011414180171847,0,blue_corner,0,0
171.67,2575,0.0119302563486228,0.0017641189413128,0,blue_corner,0,0
171.73,2576,0.012519851647245,0.0027884303881132,0,blue_corner,0,0
171.8,2577,0.0093501875806467,0.0011197831014201,0,blue_corner,0,0
171.87,2578,0.0156045895228312,0.0010401037554149,0,blue_corner,0,0
171.93,2579,0.0196305815381691,0.0032765183373469,0,blue_corner,0,0
172.0,2580,0.0148646831304286,0.0027893371095103,0,blue_corner,0,0
172.07,2581,0.015899088911903,0.0077476676631911,0,blue_corner,0,0
172.13,2582,0.0173299448852873,0.0131057484793282,0,blue_corner,0,0
172.2,2583,0.0175544176272431,0.0160708738419205,0,blue_corner,0,0
172.27,2584,0.0143744405108825,0.0147362335973716,0,blue_corner,0,0
172.33,2585,0.0089608204776673,0.0071060144593538,0,blue_corner,0,0
172.4,2586,0.0036948785371546,0.0035764028890496,0,blue_corner,0,0
172.47,2587,0.002589526896057,0.0020580848911134,0,blue_corner,0,0
172.53,2588,0.0013134250036532,0.0009773283069251,0,blue_corner,0,0
172.6,2589,0.0010547359828513,0.0005624446073387,0,blue_corner,0,0
172.67,2590,0.0012430307579891,0.0001333108144427,0,blue_corner,0,0
172.73,2591,0.0019451667334704,0.000350361490691,0,blue_corner,0,0
172.8,2592,0.0035573842567415,0.0029360281574439,0,blue_corner,0,0
172.87,2593,0.0100365021169183,0.0103026246060098,0,blue_corner,0,0
172.93,2594,0.0138669263537517,0.0145596385084787,0,blue_corner,0,0
173.0,2595,0.0129867358327415,0.0122307946986117,0,blue_corner,0,0
173.07,2596,0.0114898129046473,0.0116657118240198,0,blue_corner,0,0
173.13,2597,0.013342287953299,0.0133647467065866,0,blue_corner,0,0
173.2,2598,0.0142398584754853,0.0158432730299073,0,blue_corner,0,0
173.27,2599,0.0163117448096879,0.0180218777070904,0,blue_chamber,0,0
173.33,2600,0.0181704832234368,0.0172702599317795,0,blue_chamber,0,0
173.4,2601,0.0160058220410256,0.0156619376027052,0,blue_chamber,0,0
173.47,2602,0.0143778435119683,0.0158477718751478,0,blue_chamber,0,0
173.53,2603,0.0108555971509278,0.0107468098453176,0,blue_chamber,0,0
173.6,2604,0.0051646303626647,0.0062076504375701,0,blue_chamber,1,0
173.67,2605,0.0027656410117252,0.0036557144549919,0,blue_chamber,1,0
173.73,2606,0.0074957552649734,0.0004005340815112,0,blue_chamber,0,0
173.8,2607,0.0127469130853019,0.0012810058159863,0,blue_chamber,0,0
173.87,2608,0.0106769561633489,0.0017454241011937,0,blue_chamber,0,0
173.93,2609,0.0077481427739636,0.0031537767432524,0,blue_chamber,0,0
174.0,2610,0.0084563732021708,0.0083195965431869,0,blue_chamber,0,0
174.07,2611,0.0139977189553706,0.0152814252678965,0,blue_chamber,0,0
174.13,2612,0.0166281444080998,0.016614180270106,0,blue_chamber,0,0
174.2,2613,0.0168570516184303,0.0159595424970919,0,blue_chamber,0,0
174.27,2614,0.0118985431076144,0.0114335468852753,0,blue_chamber,0,0
174.33,2615,0.0067484675168873,0.0050364711391761,0,blue_chamber,0,0
174.4,2616,0.0032812913694549,0.0026163298184352,0,blue_chamber,0,0
174.47,2617,0.0004738135937061,0.0008854074985397,0,blue_chamber,0,0
174.53,2618,0.0024614029312907,0.0012973109783217,0,blue_chamber,0,0
174.6,2619,0.0048764021189968,0.002654750883928,0,blue_chamber,0,0
174.67,2620,0.0036429831767963,0.0024890041946782,0,blue_chamber,0,0
174.73,2621,0.001740766433627,0.001920743235619,0,blue_chamber,0,0
174.8,2622,0.0017730435852375,0.0014350278132039,0,blue_chamber,0,0
174.87,2623,0.0045826407165828,0.0016026826835785,0,blue_chamber,0,0
174.93,2624,0.0056965772933341,0.0013040938373904,0,blue_chamber,0,0
175.0,2625,0.0044763293527542,0.0011954099699899,0,blue_chamber,0,0
175.07,2626,0.002694192843801,0.0009813603315773,0,blue_chamber,0,0
175.13,2627,0.0016738279482401,0.000651368895911,0,blue_chamber,0,0
175.2,2628,0.0020075134417085,0.0007551783006241,0,blue_chamber,0,0
175.27,2629,0.0028932066660692,0.0006063936768833,0,blue_chamber,0,0
175.33,2630,0.0024653320251189,0.0003068430143679,0,blue_chamber,0,0
175.4,2631,0.0043596040838289,0.0010887983582406,0,blue_chamber,0,0
175.47,2632,0.0044331721014363,0.0004643211487458,0,blue_chamber,0,0
175.53,2633,0.0033016501349902,0.0006681827889265,0,blue_chamber,0,0
175.6,2634,0.0027965395955971,0.0011510636241083,0,blue_chamber,0,0
175.67,2635,0.001433615076465,0.0005509402346599,0,blue_chamber,0,0
175.73,2636,0.0006842960926634,0.0005807525281651,0,blue_chamber,0,0
175.8,2637,0.0021884033103043,0.0008995637252159,0,blue_chamber,0,0
175.87,2638,0.002979151882019,0.0008397391801406,0,blue_chamber,0,0
175.93,2639,0.0037934462603093,0.0004882328969238,0,blue_chamber,0,0
176.0,2640,0.0025276561120648,0.0005391361898319,0,blue_chamber,0,0
176.07,2641,0.00142549741013,0.0005948386693913,0,blue_chamber,0,0
