Time,Frame,nose_dist,body_dist,freezing,darting
240.84,6021,8.849445788509559e-05,1.5617128572831262e-05,0,0
240.88,6022,0.0007377232703777,0.0001554996178785,0,0
240.92,6023,0.0035582650711747,0.0007964766916311,0,0
240.96,6024,0.0043234040512128,0.0009198969922335,0,0
241.0,6025,0.0060233320994329,0.0004655715214865,0,0
241.04,6026,0.0015915979811916,7.81989622205499e-05,0,0
241.08,6027,0.001143798318419,4.897441956686626e-05,0,0
241.12,6028,0.0013314222154216,0.0002272457608718,0,0
241.16,6029,0.0002842981418274,0.0001795813844015,0,0
241.2,6030,0.0003182342364575,4.923241427901894e-05,0,0
241.24,6031,0.0012342560688797,7.489394870523247e-05,0,0
241.28,6032,0.0004659808612608,0.0001669549364157,0,0
241.32,6033,0.0005098035155314,5.779642883981724e-05,0,0
241.36,6034,0.0002343170276673,7.458522688227447e-05,0,0
241.4,6035,0.0004026673175396,0.0003078311827247,0,0
241.44,6036,0.0011607563491845,0.0002276611238158,0,0
241.48,6037,0.0009867508109428,4.013735747026459e-05,0,0
241.52,6038,0.0019160066521555,0.0,0,0
241.56,6039,0.0005652420720035,9.79007901012368e-06,0,0
241.6,6040,0.0008368635269288,4.5420280945752775e-05,0,0
241.64,6041,0.0007239487342792,6.605954859884746e-05,0,0
241.68,6042,0.0005528744336468,1.948243281877342e-05,0,0
241.72,6043,0.0006854015544201,7.04610614948218e-05,0,0
241.76,6044,0.0022054660329337,0.0002760691027333,0,0
241.8,6045,0.0007982453719196,0.0001571523800878,0,0
241.84,6046,0.001876622546819,0.000636666105811,0,0
241.88,6047,0.0038010129549472,0.0013495188970809,0,0
241.92,6048,0.0017355896250529,0.0005189286592421,0,0
241.96,6049,0.0010990388155105,0.0003485574056829,0,0
242.0,6050,0.0003823337278633,0.0001465923048757,0,0
242.04,6051,0.001364792382561,0.0001825172988985,0,0
242.08,6052,0.0017088984087749,8.921914126842758e-05,0,0
242.12,6053,0.0010878579627957,7.178116683116276e-05,0,0
242.16,6054,0.00060180524345,8.890699198996544e-05,0,0
242.2,6055,0.0002726906356441,8.493560863982098e-05,0,0
242.24,6056,0.0007483816416116,0.0002078222300732,0,0
242.28,6057,0.0005076402921691,0.0001620376643789,0,0
242.32,6058,0.0014149322155121,0.0004414314422867,0,0
242.36,6059,0.0023418570120448,0.0004803785576187,0,0
242.4,6060,0.0053538189433787,0.0012371141364509,0,0
242.44,6061,0.0014404170176212,0.0003804383534379,0,0
242.48,6062,0.0011632057929148,0.0004308935550394,0,0
242.52,6063,0.0024485761045505,0.0006804748601112,0,0
242.56,6064,0.0008186138950051,0.0001733567661008,0,0
242.6,6065,0.0023209015875343,1.35837386568403e-05,0,0
242.64,6066,0.0006087406560652,1.4426378278491204e-05,0,0
242.68,6067,0.0002411901999798,0.0002164953250782,0,0
242.72,6068,0.0005064271456565,0.0008422251016292,0,0
242.76,6069,0.0005966471652596,0.0004591832194495,0,0
242.8,6070,0.0006082027852208,0.0001898557957641,0,0
242.84,6071,0.002266089227019,0.0004281796123439,0,0
242.88,6072,0.001808737663001,0.0002318925609764,0,0
242.92,6073,0.0048026137981629,0.000519058424372,0,0
242.96,6074,0.0014865126061846,0.0002357326121023,0,0
243.0,6075,0.0011884933100103,0.0004150615260965,0,0
243.04,6076,0.0002958480052489,0.0002318514295038,0,0
243.08,6077,0.0004297394319717,0.0005141267624063,0,0
243.12,6078,0.0017234830500209,0.0003838965403924,0,0
243.16,6079,0.0006745127976333,0.0002125073324529,0,0
243.2,6080,0.0016276665707658,0.0006711397956582,0,0
243.24,6081,0.0031865223323461,0.0009315758962533,0,0
243.28,6082,0.0021892379034224,0.0008836150076423,0,0
243.32,6083,0.0010905177278755,0.0002728117932503,0,0
243.36,6084,0.0028561068856027,0.0003314185726249,0,0
243.4,6085,0.0008508751056973,0.000177740627699,0,0
243.44,6086,0.0011407915466084,0.000266500862766,0,0
243.48,6087,0.0028245647356519,0.000186795115588,0,0
243.52,6088,0.0022876365324238,0.0001791441573133,0,0
243.56,6089,0.0026577692872382,0.0001868918043767,0,0
243.6,6090,0.0007684918838476,0.0001235882829536,0,0
243.64,6091,0.0015410723624245,0.0004380515007125,0,0
243.68,6092,0.0039393093543907,0.0008409782833258,0,0
243.72,6093,0.0024924940861253,0.0004151666659729,0,0
243.76,6094,0.0012372204300351,0.0002156698161293,0,0
243.8,6095,0.0037732730378975,0.00070677977141,0,0
243.84,6096,0.0010766695873757,0.0003251334647281,0,0
243.88,6097,0.0009507455024222,0.0006404442324363,0,0
243.92,6098,0.0034122959993764,0.0007621767063857,0,0
243.96,6099,0.0048865519159961,0.0004122987025331,0,0
244.0,6100,0.0052124350287317,9.373380908206153e-05,0,0
244.04,6101,0.0014720455533621,1.266250119618396e-05,0,0
244.08,6102,0.0021435822233364,9.290739694428012e-05,0,0
244.12,6103,0.0036609075997057,0.0003068895929033,0,0
244.16,6104,0.0035713964954233,7.42016784558075e-05,0,0
244.2,6105,0.0021164315338223,0.0001198298524876,0,0
244.24,6106,0.0059490615056178,0.000344556664739,0,0
244.28,6107,0.0032730104293422,9.55187922965338e-05,0,0
244.32,6108,0.0008809863880187,4.152431570327408e-05,0,0
244.36,6109,0.0001420054571843,1.0839375154788114e-05,0,0
244.4,6110,2.375208743838897e-06,1.5167516763163748e-05,0,0
244.44,6111,0.0001914706553847,8.173584260653746e-05,0,0
244.48,6112,0.0008416555248617,0.0002452066913554,0,0
244.52,6113,0.0007785226364022,0.0002093443860898,0,0
244.56,6114,0.0002811054494027,4.0476354997872525e-05,0,0
244.6,6115,0.0007288229577767,2.326708344551065e-06,0,0
244.64,6116,0.0008789314094461,9.516911865731108e-06,0,0
244.68,6117,0.0002769721103291,7.506864517630163e-06,0,0
244.72,6118,0.0001856808126869,0.0001028528835879,0,0
244.76,6119,0.0005563112859446,0.0003783021484155,0,0
244.8,6120,0.0008050979440396,0.000216102133294,0,0
244.84,6121,0.0045596957188844,0.0010726325702221,0,0
244.88,6122,0.0084539486111692,0.0024818869325465,0,0
244.92,6123,0.0040617024137222,0.0008850404918035,0,0
244.96,6124,0.0042696286389212,0.0004170933356021,0,0
245.0,6125,0.0038844235965639,0.0008209257325955,0,0
245.04,6126,0.0020414882620166,0.0004728762935214,0,0
245.08,6127,0.0006872812248989,8.013639785573742e-05,0,0
245.12,6128,0.001367394908249,5.836866333570612e-06,0,0
245.16,6129,0.0003633395609556,5.6214035464339765e-06,0,0
245.2,6130,0.0001061969863482,2.0887524064311483e-05,0,0
245.24,6131,0.0006316641905053,0.0004154870519695,0,0
245.28,6132,0.0032969091349196,0.0018715250634617,0,0
245.32,6133,0.0057050446616743,0.0023000080395042,0,0
245.36,6134,0.0047953741685819,0.0005113762626536,0,0
245.4,6135,0.0049865338709974,3.625766310877063e-05,0,0
245.44,6136,0.001533046023886,6.004593856502538e-05,0,0
245.48,6137,0.0035076835651055,6.495176706029315e-05,0,0
245.52,6138,0.0076119400112047,0.0002590767893808,0,0
245.56,6139,0.0035388557663619,0.0002102867559081,0,0
245.6,6140,0.0010008267522451,0.0002687048391233,0,0
245.64,6141,0.0002392184111225,0.0005263730447986,0,0
245.68,6142,0.00023858061101,0.0001661766627132,0,0
245.72,6143,0.0005342134791414,0.0001997490521955,0,0
245.76,6144,0.0001272968407941,8.845423649053819e-05,0,0
245.8,6145,0.0001145501546216,0.0001132312484942,0,0
245.84,6146,0.0006177091615696,2.768702385986051e-05,0,0
245.88,6147,0.0010193908666689,2.8405628371251167e-05,0,0
245.92,6148,0.0012602353153714,0.0001070630660068,0,0
245.96,6149,0.0003957579624647,0.0001106924444789,0,0
246.0,6150,0.0004875722149946,0.0002926245662601,0,0
246.04,6151,0.0005840124432752,0.0002733392478312,0,0
246.08,6152,0.0004895957662554,0.0001950132716829,0,0
246.12,6153,0.0013579926745102,0.0002559886977724,0,0
246.16,6154,0.0007943959801323,0.0001731199586536,0,0
246.2,6155,0.0001340567957649,3.7854197231690256e-05,0,0
246.24,6156,8.257868172990864e-05,9.03527720537541e-06,0,0
246.28,6157,0.0003735435493836,2.706472283641404e-05,0,0
246.32,6158,0.0016600012150904,0.0001657164485445,0,0
246.36,6159,0.0040703622977459,0.0005242529468473,0,0
246.4,6160,0.00110369441551,0.0001300263366012,0,0
246.44,6161,0.0005099326746681,0.0001142146827026,0,0
246.48,6162,0.0001271053367503,0.000466689680964,0,0
246.52,6163,0.0002798493702202,0.0002130019187254,0,0
246.56,6164,0.0011228316414789,3.9617527082721257e-05,0,0
246.6,6165,0.0004017013474103,4.822552515859926e-05,0,0
246.64,6166,0.0010101201496316,0.0001899050175015,0,0
246.68,6167,0.0016278249721995,0.0004238309672454,0,0
246.72,6168,0.0015311911052833,0.0001398146690905,0,0
246.76,6169,0.0008212648589034,4.46268699483458e-05,0,0
246.8,6170,0.0020128090993478,0.0001489851559788,0,0
246.84,6171,0.0005104451554859,2.9561704675333412e-05,0,0
246.88,6172,0.0006843901381194,4.160316932214414e-05,0,0
246.92,6173,0.0014331301000397,5.045561735512473e-05,0,0
246.96,6174,0.0003811386040439,0.0001597835195909,0,0
247.0,6175,0.0001025427280681,7.452503911856584e-05,0,0
247.04,6176,0.0002336122880422,0.0001232385992488,0,0
247.08,6177,0.0001936727377835,5.343625782536895e-05,0,0
247.12,6178,1.1928476583378257e-06,3.436974241921576e-06,0,0
247.16,6179,0.0001911939070572,4.848985038103143e-05,0,0
247.2,6180,0.0004052965845279,0.0001578017250023,0,0
247.24,6181,0.0010899123541924,0.000144500309754,0,0
247.28,6182,0.0012777167401245,9.622174141715144e-05,0,0
