Time,Frame,nose_dist,body_dist,freezing,darting,Mice,Object
246.4,3696,0.0088741924910124,0.0121253479747847,0,0,0,0
246.47,3697,0.0094744556003798,0.0085929533185617,0,0,0,0
246.53,3698,0.013439306802866,0.0084090401280363,0,0,0,0
246.6,3699,0.0133347925434886,0.0114555456539012,0,0,0,0
246.67,3700,0.0147723215035493,0.0130110492203601,0,0,0,0
246.73,3701,0.0161041715915269,0.0137210310950942,0,0,0,0
246.8,3702,0.0159192655235708,0.0168005355568039,0,0,0,0
246.87,3703,0.0164702060456441,0.0186054344922343,0,0,0,0
246.93,3704,0.0173837536088319,0.0171192961652473,0,0,0,0
247.0,3705,0.0165711621087471,0.0149202544933358,0,0,0,1
247.07,3706,0.0144673872875438,0.0126860174601473,0,0,0,1
247.13,3707,0.0112221137269463,0.0097395412917538,0,0,0,1
247.2,3708,0.0039408132842747,0.0034626608157183,0,0,0,1
247.27,3709,0.003793798527928,0.0008017022591926,0,0,0,1
247.33,3710,0.0045843584904879,0.0017478168828866,0,0,0,1
247.4,3711,0.0064701231094668,0.0043016749403336,0,0,0,1
247.47,3712,0.0059041994712454,0.0039584204763555,0,0,0,1
247.53,3713,0.002012296684745,0.0015637466556305,0,0,0,1
247.6,3714,0.0008551269885271,0.000313495445437,0,0,0,1
247.67,3715,0.0016600140393466,0.0003367286157657,0,0,0,1
247.73,3716,0.0003957561875988,0.0002097867567966,0,0,0,1
247.8,3717,8.423631444125993e-05,2.974364982627461e-05,0,0,0,1
247.87,3718,0.0001352106290066,0.0002930318640355,0,0,0,1
247.93,3719,0.0005622657531871,0.0001050813301652,0,0,0,1
248.0,3720,2.874965240135771e-05,3.5966236887324725e-05,0,0,0,1
248.07,3721,0.000603122692799,7.827911472810833e-05,0,0,0,1
248.13,3722,0.0001740803712935,0.0002107439878112,0,0,0,1
248.2,3723,0.0010064511151296,0.000766114567062,0,0,0,1
248.27,3724,0.0035540116965881,0.0019466707896956,0,0,0,1
248.33,3725,0.0050697222819926,0.0020618127933029,0,0,0,1
248.4,3726,0.0053080239128963,0.0007631787533341,0,0,0,1
248.47,3727,0.0031206754130468,0.0006773848587513,0,0,0,1
248.53,3728,0.00056664614988,0.0001830831504714,0,0,0,1
248.6,3729,0.0011311889127447,0.0005396925355556,0,0,0,1
248.67,3730,0.0013083758015531,0.0008100984635126,0,0,0,1
248.73,3731,0.0007590608601249,0.000717829924078,0,0,0,1
248.8,3732,0.0003065575687152,0.0006180252202095,0,0,0,1
248.87,3733,2.433654224742035e-05,0.0004540885284134,0,0,0,1
