Time,Frame,nose_dist,body_dist,freezing,darting,Object,Mice
252.6,3789,0.0009187074688297,0.0003261495391105,0,0,0,0
252.67,3790,0.0005668492317699,0.0003015116192707,0,0,0,0
252.73,3791,0.0002887176181628,0.0001488047377296,0,0,0,0
252.8,3792,0.0006956580861225,0.0003491498531273,0,0,0,1
252.87,3793,0.0015161885920228,0.0008514425870248,0,0,0,1
252.93,3794,0.0002584266817215,0.0001809234634694,0,0,0,1
253.0,3795,0.0006556933591464,0.0006777374589835,0,0,0,1
253.07,3796,0.0008208192420749,0.0003816723143315,0,0,0,1
253.13,3797,0.0018028117115242,0.0003609942920209,0,0,0,1
253.2,3798,0.0015685461336208,0.0010974559452424,0,0,0,1
253.27,3799,0.0006377314459059,0.0010749584471301,0,0,0,1
253.33,3800,0.000147674970085,0.0007048638936125,0,0,0,1
253.4,3801,0.0002004687902594,0.000166118216817,0,0,0,1
253.47,3802,3.3290138752766006e-05,0.0001013727262009,0,0,0,1
253.53,3803,0.0003355841297707,0.0002721346927126,0,0,0,1
253.6,3804,0.0001634420668135,0.0001499007749006,0,0,0,1
253.67,3805,0.0002274313452567,0.0003413111971578,0,0,0,1
253.73,3806,0.0012705434895429,0.0004599270998553,0,0,0,1
253.8,3807,0.0060012536904257,0.0017553881416757,0,0,0,0
253.87,3808,0.0082873570332809,0.003370809361033,0,0,0,0
253.93,3809,0.0065973087343572,0.0022777191122743,0,0,0,0
254.0,3810,0.0051171000918746,0.001356405236503,0,0,0,0
254.07,3811,0.0050812681304175,0.0015015142202988,0,0,0,0
254.13,3812,0.0084176834665958,0.0028780359774647,0,0,0,0
254.2,3813,0.0091484428099122,0.0036753274614597,0,0,0,0
254.27,3814,0.0079397068405002,0.0038307739584131,0,0,0,0
254.33,3815,0.0064243464916917,0.0014317873641686,0,0,0,0
254.4,3816,0.0136468033985729,0.0007160907338865,0,0,0,0
254.47,3817,0.020513872986984,0.0036437787494761,0,0,0,0
254.53,3818,0.0222772687290949,0.0113077714100813,0,0,0,0
254.6,3819,0.0212387792786972,0.0171326335983598,0,0,0,0
254.67,3820,0.0197274670463442,0.0210941940625909,0,0,0,0
254.73,3821,0.0211040525546124,0.0216902366760339,0,0,0,0
254.8,3822,0.0238175278824154,0.0222900303729282,0,0,0,0
254.87,3823,0.0255960995839095,0.0272568473826802,0,0,0,0
254.93,3824,0.0254090277783517,0.0263201795455819,0,0,0,0
255.0,3825,0.021983624942504,0.0188115665386431,0,0,0,0
255.07,3826,0.0187636758154528,0.0188346271087442,0,0,0,0
255.13,3827,0.0182406691949616,0.0166770966457712,0,0,0,0
255.2,3828,0.0141085958497365,0.0151275764658883,0,0,0,0
255.27,3829,0.0094847273915376,0.009796862419307,0,0,0,0
255.33,3830,0.0027102329474294,0.0053088304574797,0,0,0,0
255.4,3831,0.0088879342841308,0.00161579437446,0,0,0,0
255.47,3832,0.0109390444948877,0.0019879725648096,0,0,0,0
255.53,3833,0.0046889401480702,0.001174507334593,0,0,0,0
255.6,3834,0.0035163958932845,0.000447172532203,0,0,0,0
255.67,3835,0.0079054004725551,0.0038944647487608,0,0,0,0
255.73,3836,0.0110162926641828,0.008123063099041,0,0,0,0
255.8,3837,0.0124132021313059,0.0097071214193466,0,0,0,0
255.87,3838,0.0088267147398077,0.0088662025972869,0,0,0,0
255.93,3839,0.0062668910268653,0.0058895186280338,0,0,0,0
256.0,3840,0.0080605902928276,0.000930288414246,0,0,0,0
256.07,3841,0.0020906040019428,0.0019181422155535,0,0,0,0
256.13,3842,7.84786467263373e-05,0.001356226815836,0,0,0,0
256.2,3843,0.0007656237437906,0.0007293278993134,0,0,0,0
256.27,3844,0.0007927368631611,0.0006469984729156,0,0,0,0
256.33,3845,0.0005667124502818,0.0002583074903188,0,0,0,0
256.4,3846,0.0006448054470015,0.0002457948625565,0,0,0,0
256.47,3847,0.0008786226645763,0.0001987852937922,0,0,0,0
256.53,3848,0.000416570379208,0.0003072876512842,0,0,0,0
256.6,3849,0.0003761710904816,0.0002203310257426,0,0,0,0
256.67,3850,0.000416210028836,0.0002671424432004,0,0,0,0
256.73,3851,0.0005823630445978,0.0002007432647182,0,0,0,0
256.8,3852,0.0004055646215506,0.0001535419591925,0,0,0,0
256.87,3853,0.0003830810394873,0.0002877704805838,0,0,0,0
256.93,3854,9.914471033884384e-05,0.0001730009338495,0,0,0,0
257.0,3855,6.840814377486856e-05,0.0001214950387002,0,0,0,0
257.07,3856,0.0001975182623903,0.0001810207772743,0,0,0,0
257.13,3857,0.0005583281240869,1.6165647913164125e-05,0,0,0,0
257.2,3858,0.0014351383378256,0.0002420219126516,0,0,0,0
257.27,3859,0.0026260698775157,0.0005345193756485,0,0,0,0
257.33,3860,0.0060254834752285,0.0032760336051637,0,0,0,0
257.4,3861,0.0132228748419283,0.0089020183714003,0,0,0,0
257.47,3862,0.0183607968758408,0.0159910220321414,0,0,0,0
257.53,3863,0.0219810131734985,0.021223414903791,0,0,0,0
257.6,3864,0.0231126708636508,0.0245253176828267,0,0,0,0
257.67,3865,0.0231620028499194,0.0228338652958532,0,0,0,0
257.73,3866,0.0150587670022382,0.0175700334326587,0,0,0,0
257.8,3867,0.0084960551338852,0.012177490028012,0,0,0,0
257.87,3868,0.0063098137600449,0.0066554213539559,0,0,0,0
257.93,3869,0.0049859619483249,0.0044071305586173,0,0,0,0
258.0,3870,0.0059921411126199,0.0028762517277472,0,0,0,0
258.07,3871,0.012664757945568,0.0083111963448361,0,0,0,0
258.13,3872,0.0178267059874838,0.0165456309626232,0,0,0,0
258.2,3873,0.0205333542730159,0.0226925923641893,0,0,0,0
258.27,3874,0.0219066408307736,0.0215265486071956,0,0,0,0
258.33,3875,0.0215606321448458,0.0218325195454528,0,0,0,0
258.4,3876,0.0195276321857529,0.018834930448012,0,0,0,0
258.47,3877,0.0195244693647319,0.0175231620915398,0,0,0,0
258.53,3878,0.0182293996190691,0.0158406504983788,0,0,0,0
258.6,3879,0.0176572476585169,0.0165639430210542,0,0,0,0
258.67,3880,0.0157657014525943,0.0170163789013991,0,0,0,0
258.73,3881,0.0158469766363801,0.0156121136504017,0,0,0,0
258.8,3882,0.0121101454339972,0.0127334076322782,0,0,0,0
258.87,3883,0.0087696349479863,0.0073354333074065,0,0,0,0
258.93,3884,0.0087112408773391,0.0056599316608233,0,0,0,0
259.0,3885,0.0127841263573051,0.0091193777712352,0,0,0,0
259.07,3886,0.0132767879715044,0.0114658673020052,0,0,0,0
259.13,3887,0.0072352898103687,0.0094764303024524,0,0,0,0
259.2,3888,0.0049026067968074,0.0056435531887676,0,0,0,0
259.27,3889,0.0004939824882032,0.0014791476239854,0,0,0,0
259.33,3890,0.0027013065480959,0.0002215482489163,0,0,0,0
259.4,3891,0.0013113463059296,0.0011747507368519,0,0,0,0
259.47,3892,0.0004564863352347,0.0010127590702895,0,0,0,0
259.53,3893,0.0009970518559336,0.0005600325998071,0,0,0,0
259.6,3894,0.0001871636127795,0.0003885215352586,0,0,0,0
259.67,3895,0.0004854933194395,0.0001701672980652,0,0,0,0
