Time,Frame,nose_dist,body_dist,freezing
48.64,1216,0.00722446654086,0.001466618352931,0
48.68,1217,0.0030529594500049,0.0020228180138781,0
48.72,1218,0.0084477024862566,0.0066594301631811,0
48.76,1219,0.0035052097500212,0.0028832227767737,0
48.8,1220,0.0057988259095639,0.0049217211358426,0
48.84,1221,0.0029194687176339,0.0012272420362083,0
48.88,1222,0.0014250494466574,0.0004666638689323,0
48.92,1223,0.0041742263351176,0.00187437093701,0
48.96,1224,0.0019706697965346,0.0009592151409686,0
49.0,1225,0.0039609337245842,0.0028084292431619,0
49.04,1226,0.0028219333579575,0.0033967833602765,0
49.08,1227,0.0006223239837584,0.0008590126299401,0
49.12,1228,9.88291474698088e-06,0.0005792948247057,0
49.16,1229,0.0004724950784823,0.000176773081058,0
49.2,1230,0.0036648104531091,0.0006612344419149,0
49.24,1231,0.0076091280380194,0.00164164512284,0
49.28,1232,0.0025292422965667,0.0008671645061233,0
49.32,1233,0.0033310856428287,0.0018016471299309,0
49.36,1234,0.0022617805592789,0.0012256402615021,0
49.4,1235,0.0118407160063186,0.0085745875192321,0
49.44,1236,0.0265291000045567,0.0226655865374755,0
49.48,1237,0.0088573889457097,0.0083741400572051,0
49.52,1238,0.0133287236511556,0.0142231332831589,0
49.56,1239,0.0147773222755277,0.0137970583585318,0
49.6,1240,0.0042597592129017,0.004324805887645,0
49.64,1241,0.0087259965851491,0.0089797568542165,0
49.68,1242,0.0133670251505943,0.013632334052675,0
49.72,1243,0.0064332298613164,0.0059111969790717,0
49.76,1244,0.0168197637560114,0.0135704544463462,0
49.8,1245,0.0151446448678908,0.0124992380876779,0
49.84,1246,0.0048364257290526,0.004354945513913,0
49.88,1247,0.0077588617564496,0.0079169886432126,0
49.92,1248,0.0021106521506476,0.0026014691369214,0
49.96,1249,0.0028116921291113,0.0035386576526939,0
50.0,1250,0.0077209425010016,0.0055669268737224,0
50.04,1251,0.0079326872601011,0.0012671413211601,0
50.08,1252,0.0019016953818009,7.654026311683993e-05,0
50.12,1253,0.0011903699760025,0.0003072611841778,0
50.16,1254,0.0016251486347308,0.000225106387157,0
50.2,1255,0.0071390742014306,0.0007703112893449,0
50.24,1256,0.0094243486290015,0.0006746579798799,0
50.28,1257,0.0040956478455905,0.0006601259479523,0
50.32,1258,0.0081571650961078,0.0018977541447523,0
50.36,1259,0.0029056218612263,0.0007766266879782,0
50.4,1260,0.0073619896607644,0.0014933869127909,0
50.44,1261,0.0166028021651363,0.0023380783205422,0
50.48,1262,0.0062742372912643,0.0014637814804863,0
50.52,1263,0.0096386215468092,0.0036854920629636,0
50.56,1264,0.0048124100396245,0.0026659027351435,0
50.6,1265,0.0114674295322627,0.0084520992091709,0
50.64,1266,0.0098085785739028,0.0082676017277527,0
50.68,1267,0.0034608485938267,0.0035728693621772,0
50.72,1268,0.0014897433549753,0.000531441668249,0
50.76,1269,0.005688379535076,1.6799124797467607e-05,0
50.8,1270,0.0030634526158971,0.0006559540474287,0
50.84,1271,0.0085044665064935,0.0025450848600303,0
50.88,1272,0.0021691697358949,0.0008171944340392,0
50.92,1273,0.0005636798826867,7.37412246073046e-05,0
50.96,1274,0.0006766202291947,0.0002142745596392,0
51.0,1275,0.0005508897685237,0.0004393654560259,0
51.04,1276,0.000262333681547,0.0013818324186622,0
51.08,1277,0.0001984703982869,0.0010422387720841,0
51.12,1278,0.0008623262961879,0.0003799198277653,0
51.16,1279,0.0032123567388545,0.0007164518384274,0
51.2,1280,0.0012804969474449,0.0002952724375664,0
51.24,1281,0.0024211703880209,0.0007757255950731,0
51.28,1282,0.0023778289040071,0.0013606189213719,0
51.32,1283,0.0006711332182974,0.0006760704041652,0
51.36,1284,0.0008438956975096,0.0018728154995158,0
51.4,1285,0.0003968270242523,0.0005544052704878,0
51.44,1286,0.0011211269800039,0.0007193336648465,0
51.48,1287,0.0019214131201836,0.0013917322315983,0
51.52,1288,0.0019226685565423,0.0003244403727961,0
51.56,1289,0.0018906876865931,7.376799950862964e-05,0
51.6,1290,0.0017710215126238,0.0005594212997457,0
51.64,1291,0.0014854886104272,0.0011831806322221,0
51.68,1292,0.0010339452876117,0.0004184751360849,0
51.72,1293,0.000481328247512,0.0006345643867498,0
51.76,1294,0.0008486207224584,0.0002153936265107,0
51.8,1295,0.0036899356007854,0.0005822379781753,0
51.84,1296,0.0038115061976411,0.001102624978143,0
51.88,1297,0.0017242174688579,0.0008005366552727,0
51.92,1298,0.003826445080488,0.0017540251502109,0
51.96,1299,0.001462818707377,0.000696668129659,0
52.0,1300,0.0029911111424399,0.0015619882499312,0
52.04,1301,0.002513232709833,0.0020492727363043,0
52.08,1302,0.0015243034707611,0.0013422303883628,0
52.12,1303,0.001241836369221,0.0008579406774428,0
52.16,1304,0.0039765954902036,0.0029470976810007,0
52.2,1305,0.0018653602847072,0.0010366221298956,0
52.24,1306,0.0005045730146866,0.0003202650320445,0
52.28,1307,0.0011963353819153,0.0011442573094465,0
52.32,1308,0.0004748613977008,0.0003804424290597,0
52.36,1309,0.0008071539121179,0.0007265133139662,0
52.4,1310,0.0005328021495645,0.0005862948255548,0
52.44,1311,0.0014387160119265,0.0015289998455388,0
52.48,1312,0.0005128717440532,0.0003895498273298,0
52.52,1313,0.000113622493637,0.0001084003255469,0
52.56,1314,0.0002567298323038,0.0003158676790799,0
52.6,1315,0.0033648705320758,0.0026042605640579,0
52.64,1316,0.0098781202563247,0.0061289367648953,0
52.68,1317,0.0075290547399292,0.002849001280067,0
52.72,1318,0.0205934463342546,0.0059024216937056,0
52.76,1319,0.0079698659970847,0.0015460909379946,0
52.8,1320,0.013447798748952,0.0036823340565609,0
52.84,1321,0.0143807406456177,0.0106789245858349,0
52.88,1322,0.0142142376946924,0.0139769870323957,0
52.92,1323,0.0029951182042778,0.0030679281230884,0
52.96,1324,0.0014725820644671,0.0014063243262073,0
53.0,1325,0.0071190624097067,0.0069986095627903,0
53.04,1326,0.0104847217108349,0.0108702771791659,0
53.08,1327,0.0169167774456536,0.0157029233010647,0
53.12,1328,0.0048698381407888,0.0047962136927983,0
53.16,1329,0.0039228541431933,0.0048722493621975,0
53.2,1330,0.0022163941494429,0.0031732108234799,0
53.24,1331,0.0062589257038975,0.0086684253297059,0
53.28,1332,0.0065744290203611,0.0066274460379334,0
53.32,1333,0.0028117462646764,0.0023460695966099,0
53.36,1334,0.0075567369649752,0.0062154410968472,0
53.4,1335,0.0081345135947004,0.0073929211196565,0
53.44,1336,0.0036076537049475,0.0044941988068533,0
53.48,1337,0.0005262177728786,0.0007757141291728,0
53.52,1338,0.0004250652587198,1.7500398245093863e-05,0
53.56,1339,0.0040068830047993,0.0004141955930312,0
53.6,1340,0.0124252086577211,0.0014132401506611,0
53.64,1341,0.0122537247228908,0.0009204441905412,0
53.68,1342,0.0034290802163221,0.0005864471408622,0
53.72,1343,0.0041540524460319,0.0015598048700529,0
53.76,1344,0.0014779896264869,0.0005500763065249,0
